Created As Omnic File,BIOL 001
Raman Shift / cm-1,INT
3418.58,194
3417.61,210
3416.65,208
3415.68,196
3414.72,190
3413.76,184
3412.79,166
3411.83,133
3410.86,99
3409.90,81
3408.94,99
3407.97,139
3407.01,165
3406.04,143
3405.08,115
3404.11,129
3403.15,166
3402.19,172
3401.22,129
3400.26,56
3399.29,12
3398.33,4
3397.36,11
3396.40,16
3395.44,23
3394.47,34
3393.51,45
3392.54,54
3391.58,68
3390.61,86
3389.65,104
3388.69,80
3387.72,9
3386.76,-38
3385.79,-28
3384.83,-8
3383.87,-12
3382.90,-9
3381.94,14
3380.97,12
3380.01,-38
3379.04,-107
3378.08,-148
3377.12,-108
3376.15,-23
3375.19,-0
3374.22,-3
3373.26,6
3372.29,-4
3371.33,-35
3370.37,-67
3369.40,-88
3368.44,-90
3367.47,-82
3366.51,-82
3365.54,-87
3364.58,-80
3363.62,-73
3362.65,-63
3361.69,-58
3360.72,-77
3359.76,-98
3358.80,-88
3357.83,-56
3356.87,-18
3355.90,-7
3354.94,-55
3353.97,-95
3353.01,-117
3352.05,-123
3351.08,-92
3350.12,-42
3349.15,-5
3348.19,0
3347.22,-14
3346.26,-18
3345.30,-7
3344.33,11
3343.37,-6
3342.40,-47
3341.44,-69
3340.47,-72
3339.51,-43
3338.55,-11
3337.58,-16
3336.62,-44
3335.65,-65
3334.69,-70
3333.73,-53
3332.76,-26
3331.80,-20
3330.83,-32
3329.87,-70
3328.90,-124
3327.94,-142
3326.98,-110
3326.01,-74
3325.05,-38
3324.08,-27
3323.12,-51
3322.15,-72
3321.19,-54
3320.23,-18
3319.26,-7
3318.30,-10
3317.33,-8
3316.37,-12
3315.40,-25
3314.44,-31
3313.48,-42
3312.51,-55
3311.55,-49
3310.58,-45
3309.62,-27
3308.66,1
3307.69,4
3306.73,-5
3305.76,-14
3304.80,-29
3303.83,-45
3302.87,-50
3301.91,-50
3300.94,-31
3299.98,3
3299.01,9
3298.05,8
3297.08,15
3296.12,2
3295.16,-12
3294.19,15
3293.23,49
3292.26,80
3291.30,91
3290.33,32
3289.37,-43
3288.41,-52
3287.44,-37
3286.48,-53
3285.51,-76
3284.55,-58
3283.59,-14
3282.62,8
3281.66,13
3280.69,26
3279.73,37
3278.76,25
3277.80,-5
3276.84,-43
3275.87,-76
3274.91,-85
3273.94,-65
3272.98,-45
3272.01,-48
3271.05,-57
3270.09,-43
3269.12,-31
3268.16,-48
3267.19,-77
3266.23,-80
3265.26,-59
3264.30,-43
3263.34,-40
3262.37,-35
3261.41,-26
3260.44,-13
3259.48,3
3258.51,12
3257.55,-2
3256.59,-43
3255.62,-49
3254.66,-14
3253.69,-17
3252.73,-46
3251.77,-64
3250.80,-76
3249.84,-90
3248.87,-91
3247.91,-59
3246.94,-9
3245.98,14
3245.02,15
3244.05,19
3243.09,14
3242.12,-15
3241.16,-46
3240.19,-49
3239.23,-32
3238.27,-11
3237.30,12
3236.34,18
3235.37,10
3234.41,13
3233.44,1
3232.48,-8
3231.52,-5
3230.55,-2
3229.59,-2
3228.62,-12
3227.66,-29
3226.70,-47
3225.73,-80
3224.77,-71
3223.80,4
3222.84,36
3221.87,-3
3220.91,-29
3219.95,-21
3218.98,-6
3218.02,-3
3217.05,-2
3216.09,15
3215.12,35
3214.16,44
3213.20,40
3212.23,23
3211.27,17
3210.30,9
3209.34,-8
3208.37,-16
3207.41,-19
3206.45,-19
3205.48,-10
3204.52,-10
