Created As Omnic File,PLAS 201
Raman Shift / cm-1,INT
3418.58,1
3417.61,2
3416.65,1
3415.68,0
3414.72,1
3413.76,2
3412.79,2
3411.83,2
3410.86,1
3409.90,-0
3408.94,-0
3407.97,0
3407.01,1
3406.04,1
3405.08,2
3404.11,3
3403.15,4
3402.19,4
3401.22,4
3400.26,2
3399.29,1
3398.33,2
3397.36,3
3396.40,3
3395.44,4
3394.47,5
3393.51,6
3392.54,6
3391.58,5
3390.61,4
3389.65,4
3388.69,3
3387.72,5
3386.76,6
3385.79,5
3384.83,5
3383.87,5
3382.90,6
3381.94,5
3380.97,4
3380.01,2
3379.04,2
3378.08,3
3377.12,4
3376.15,5
3375.19,7
3374.22,7
3373.26,8
3372.29,7
3371.33,5
3370.37,4
3369.40,4
3368.44,4
3367.47,3
3366.51,3
3365.54,3
3364.58,2
3363.62,1
3362.65,1
3361.69,0
3360.72,1
3359.76,1
3358.80,1
3357.83,1
3356.87,2
3355.90,2
3354.94,-0
3353.97,-2
3353.01,-3
3352.05,-3
3351.08,-4
3350.12,-3
3349.15,-2
3348.19,-1
3347.22,-1
3346.26,-1
3345.30,-2
3344.33,-3
3343.37,-4
3342.40,-5
3341.44,-5
3340.47,-5
3339.51,-4
3338.55,-4
3337.58,-5
3336.62,-6
3335.65,-7
3334.69,-7
3333.73,-7
3332.76,-6
3331.80,-5
3330.83,-5
3329.87,-5
3328.90,-6
3327.94,-8
3326.98,-9
3326.01,-8
3325.05,-7
3324.08,-8
3323.12,-9
3322.15,-10
3321.19,-10
3320.23,-9
3319.26,-7
3318.30,-7
3317.33,-8
3316.37,-10
3315.40,-9
3314.44,-7
3313.48,-7
3312.51,-8
3311.55,-8
3310.58,-8
3309.62,-7
3308.66,-6
3307.69,-6
3306.73,-6
3305.76,-6
3304.80,-7
3303.83,-9
3302.87,-9
3301.91,-8
3300.94,-7
3299.98,-6
3299.01,-3
3298.05,-2
3297.08,-3
3296.12,-5
3295.16,-6
3294.19,-6
3293.23,-4
3292.26,-3
3291.30,-4
3290.33,-6
3289.37,-6
3288.41,-5
3287.44,-4
3286.48,-5
3285.51,-6
3284.55,-5
3283.59,-3
3282.62,-3
3281.66,-4
3280.69,-3
3279.73,-2
3278.76,-1
3277.80,-2
3276.84,-3
3275.87,-4
3274.91,-4
3273.94,-3
3272.98,-2
3272.01,-2
3271.05,-2
3270.09,-2
3269.12,-2
3268.16,-2
3267.19,-2
3266.23,-2
3265.26,-2
3264.30,-1
3263.34,0
3262.37,-0
3261.41,-1
3260.44,-2
3259.48,-2
3258.51,-1
3257.55,-1
3256.59,-0
3255.62,-1
3254.66,-4
3253.69,-4
3252.73,-2
3251.77,-2
3250.80,-3
3249.84,-4
3248.87,-3
3247.91,-3
3246.94,-3
3245.98,-4
3245.02,-5
3244.05,-4
3243.09,-3
3242.12,-2
3241.16,-3
3240.19,-6
3239.23,-8
3238.27,-6
3237.30,-5
3236.34,-4
3235.37,-4
3234.41,-3
3233.44,-3
3232.48,-5
3231.52,-5
3230.55,-6
3229.59,-6
3228.62,-6
3227.66,-6
3226.70,-7
3225.73,-9
3224.77,-10
3223.80,-8
3222.84,-7
3221.87,-7
3220.91,-8
3219.95,-9
3218.98,-9
3218.02,-10
3217.05,-10
3216.09,-10
3215.12,-9
3214.16,-7
3213.20,-8
3212.23,-11
3211.27,-11
3210.30,-10
3209.34,-10
3208.37,-10
3207.41,-9
3206.45,-8
3205.48,-9
3204.52,-10
3203.55,-10
3202.59,-9
3201.63,-9
3200.66,-9
3199.70,-9
3198.73,-10
3197.77,-10
3196.80,-9
3195.84,-7
3194.88,-6
3193.91,-7
3192.95,-7
3191.98,-8
3191.02,-8
3190.05,-8
3189.09,-8
3188.13,-7
3187.16,-7
3186.20,-7
3185.23,-6
3184.27,-6
3183.30,-5
3182.34,-5
3181.38,-4
3180.41,-3
3179.45,-2
3178.48,-2
3177.52,-3
3176.56,-3
3175.59,-3
3174.63,-4
3173.66,-5
3172.70,-6
3171.73,-4
3170.77,-2
3169.81,1
3168.84,1
3167.88,0
3166.91,-1
3165.95,-2
3164.98,-2
3164.02,-3
3163.06,-2
3162.09,-1
3161.13,-0
3160.16,0
3159.20,0
3158.23,-1
3157.27,-1
3156.31,-1
3155.34,0
3154.38,1
3153.41,1
3152.45,-0
3151.49,-1
3150.52,-1
3149.56,-1
3148.59,-0
3147.63,1
3146.66,1
3145.70,-0
3144.74,-0
