Created As Omnic File,PLAS 248
Raman Shift / cm-1,INT
3418.58,-2
3417.61,-0
3416.65,-1
3415.68,-1
3414.72,0
3413.76,0
3412.79,-5
3411.83,-10
3410.86,-6
3409.90,-3
3408.94,-2
3407.97,-2
3407.01,-2
3406.04,-2
3405.08,-1
3404.11,-1
3403.15,-1
3402.19,-2
3401.22,-6
3400.26,-9
3399.29,-10
3398.33,-8
3397.36,-6
3396.40,-5
3395.44,-3
3394.47,-0
3393.51,-1
3392.54,-8
3391.58,-10
3390.61,-9
3389.65,-7
3388.69,-7
3387.72,-8
3386.76,-7
3385.79,-5
3384.83,-4
3383.87,-7
3382.90,-9
3381.94,-7
3380.97,-5
3380.01,-4
3379.04,-6
3378.08,-10
3377.12,-13
3376.15,-13
3375.19,-9
3374.22,-5
3373.26,-6
3372.29,-9
3371.33,-9
3370.37,-8
3369.40,-6
3368.44,-6
3367.47,-8
3366.51,-11
3365.54,-13
3364.58,-13
3363.62,-11
3362.65,-9
3361.69,-9
3360.72,-10
3359.76,-12
3358.80,-10
3357.83,-8
3356.87,-10
3355.90,-11
3354.94,-9
3353.97,-8
3353.01,-10
3352.05,-10
3351.08,-8
3350.12,-3
3349.15,2
3348.19,1
3347.22,-6
3346.26,-8
3345.30,-6
3344.33,-1
3343.37,3
3342.40,2
3341.44,-0
3340.47,-0
3339.51,-0
3338.55,-2
3337.58,-4
3336.62,-3
3335.65,-1
3334.69,2
3333.73,3
3332.76,4
3331.80,6
3330.83,8
3329.87,7
3328.90,3
3327.94,-2
3326.98,-3
3326.01,4
3325.05,10
3324.08,9
3323.12,5
3322.15,0
3321.19,0
3320.23,3
3319.26,1
3318.30,-2
3317.33,-3
3316.37,-3
3315.40,-2
3314.44,-2
3313.48,-3
3312.51,-4
3311.55,-3
3310.58,-3
3309.62,-2
3308.66,0
3307.69,-1
3306.73,-5
3305.76,-9
3304.80,-9
3303.83,-6
3302.87,-5
3301.91,-4
3300.94,-4
3299.98,-4
3299.01,-3
3298.05,-2
3297.08,-1
3296.12,-1
3295.16,-3
3294.19,-3
3293.23,0
3292.26,2
3291.30,-1
3290.33,-4
3289.37,-6
3288.41,-5
3287.44,-3
3286.48,-2
3285.51,-1
3284.55,-1
3283.59,-2
3282.62,-1
3281.66,0
3280.69,-0
3279.73,-0
3278.76,1
3277.80,2
3276.84,1
3275.87,0
3274.91,-1
3273.94,-0
3272.98,1
3272.01,-0
3271.05,-1
3270.09,-0
3269.12,2
3268.16,0
3267.19,-2
3266.23,-2
3265.26,-0
3264.30,-1
3263.34,-1
3262.37,-1
3261.41,-1
3260.44,-1
3259.48,2
3258.51,7
3257.55,7
3256.59,-0
3255.62,-3
3254.66,-1
3253.69,-2
3252.73,-4
3251.77,-3
3250.80,-1
3249.84,-0
3248.87,-0
3247.91,1
3246.94,1
3245.98,0
3245.02,-2
3244.05,-4
3243.09,-4
3242.12,1
3241.16,3
3240.19,-2
3239.23,-5
3238.27,-4
3237.30,-1
3236.34,2
3235.37,2
3234.41,2
3233.44,-1
3232.48,-4
3231.52,-3
3230.55,-0
3229.59,1
3228.62,-0
3227.66,-3
3226.70,-5
3225.73,-5
3224.77,-4
3223.80,-3
3222.84,-2
3221.87,-2
3220.91,-2
3219.95,-3
3218.98,-3
3218.02,-2
3217.05,-1
3216.09,-1
3215.12,0
3214.16,3
3213.20,3
3212.23,1
3211.27,-1
3210.30,-2
3209.34,-3
3208.37,-3
3207.41,-3
3206.45,-4
3205.48,-4
3204.52,-4
3203.55,-4
3202.59,-2
3201.63,-0
3200.66,1
3199.70,1
3198.73,-0
3197.77,-2
3196.80,-2
3195.84,-0
3194.88,-0
3193.91,-1
3192.95,1
3191.98,6
3191.02,4
3190.05,0
3189.09,-0
3188.13,-0
3187.16,0
3186.20,0
3185.23,3
3184.27,4
3183.30,0
3182.34,-3
3181.38,-2
3180.41,1
3179.45,4
3178.48,3
3177.52,-1
3176.56,-2
3175.59,-2
3174.63,-1
3173.66,1
3172.70,-0
3171.73,-1
3170.77,2
3169.81,6
3168.84,4
3167.88,-2
3166.91,-8
3165.95,-10
3164.98,-7
3164.02,-2
3163.06,-0
3162.09,0
3161.13,0
3160.16,-2
3159.20,-4
3158.23,-6
3157.27,-3
3156.31,-1
3155.34,-0
3154.38,-0
3153.41,-1
3152.45,-3
3151.49,-4
3150.52,-5
3149.56,-5
3148.59,-5
3147.63,-4
3146.66,-4
3145.70,-4
3144.74,-2
3143.77,0
3142.81,3
3141.84,4
3140.88,1
3139.91,-3
3138.95,-4
3137.99,-2
3137.02,0
3136.06,1
3135.09,-2
3134.13,-3
3133.16,-0
3132.20,3
3131.24,4
3130.27,1
3129.31,-6
3128.34,-7
3127.38,-3
3126.42,1
3125.45,3
3124.49,4
3123.52,1
3122.56,-1
3121.59,-4
3120.63,-2
3119.67,2
3118.70,2
3117.74,-0
3116.77,0
3115.81,2
3114.84,1
3113.88,0
3112.92,1
3111.95,3
3110.99,4
3110.02,4
3109.06,3
3108.09,3
3107.13,2
3106.17,-1
3105.20,-4
3104.24,-5
3103.27,-0
3102.31,3
3101.34,2
3100.38,1
3099.42,2
3098.45,4
3097.49,5
3096.52,3
3095.56,0
3094.60,0
3093.63,2
3092.67,1
3091.70,-1
3090.74,1
3089.77,5
3088.81,7
3087.85,7
3086.88,6
3085.92,4
3084.95,6
3083.99,9
3083.02,9
3082.06,8
3081.10,7
3080.13,7
3079.17,7
3078.20,7
3077.24,7
3076.27,9
3075.31,11
3074.35,11
3073.38,6
3072.42,4
3071.45,8
3070.49,7
