Created As Omnic File,BIOL 001
Raman Shift / cm-1,INT
3699.66,2
3698.36,2
3697.06,2
3695.77,1
3694.47,1
3693.18,1
3691.88,0
3690.58,1
3689.29,0
3687.99,0
3686.69,0
3685.40,-0
3684.10,0
3682.80,0
3681.51,0
3680.21,0
3678.91,-0
3677.62,1
3676.32,0
3675.02,0
3673.73,-0
3672.43,-0
3671.14,0
3669.84,1
3668.54,0
3667.25,0
3665.95,0
3664.65,0
3663.36,1
3662.06,1
3660.76,1
3659.47,1
3658.17,1
3656.87,-0
3655.58,1
3654.28,0
3652.98,1
3651.69,0
3650.39,-0
3649.10,0
3647.80,-1
3646.50,-0
3645.21,-1
3643.91,-0
3642.61,-1
3641.32,-1
3640.02,-0
3638.72,-1
3637.43,-0
3636.13,-0
3634.83,-1
3633.54,-0
3632.24,-0
3630.94,-0
3629.65,0
3628.35,0
3627.06,0
3625.76,0
3624.46,0
3623.17,1
3621.87,-0
3620.57,0
3619.28,1
3617.98,1
3616.68,0
3615.39,1
3614.09,-0
3612.79,0
3611.50,0
3610.20,0
3608.90,-0
3607.61,0
3606.31,-0
3605.02,-1
3603.72,-1
3602.42,-1
3601.13,-1
3599.83,-1
3598.53,-1
3597.24,0
3595.94,0
3594.64,1
3593.35,0
3592.05,1
3590.75,0
3589.46,-0
3588.16,0
3586.87,-0
3585.57,1
3584.27,0
3582.98,2
3581.68,5
3580.38,10
3579.09,12
3577.79,12
3576.49,11
3575.20,8
3573.90,3
3572.60,2
3571.31,1
3570.01,0
3568.71,1
3567.42,0
3566.12,1
3564.83,-0
3563.53,-0
3562.23,0
3560.94,-0
3559.64,0
3558.34,-1
3557.05,-0
3555.75,-1
3554.45,-0
3553.16,-0
3551.86,-1
3550.56,-0
3549.27,1
3547.97,0
3546.67,0
3545.38,0
3544.08,0
3542.79,0
3541.49,1
3540.19,1
3538.90,1
3537.60,0
3536.30,1
3535.01,1
3533.71,1
3532.41,1
3531.12,1
3529.82,1
3528.52,1
3527.23,1
3525.93,1
3524.63,0
3523.34,0
3522.04,0
3520.75,1
3519.45,1
3518.15,0
3516.86,1
3515.56,1
3514.26,1
3512.97,1
3511.67,2
3510.37,1
3509.08,1
3507.78,1
3506.48,1
3505.19,1
3503.89,2
3502.59,2
3501.30,2
3500.00,1
3498.71,2
3497.41,2
3496.11,1
3494.82,1
3493.52,1
3492.22,0
3490.93,1
3489.63,0
3488.33,1
3487.04,1
3485.74,-0
3484.44,1
3483.15,0
3481.85,0
3480.55,-0
3479.26,0
3477.96,-0
3476.67,-0
3475.37,-0
3474.07,0
3472.78,0
3471.48,0
3470.18,0
3468.89,-0
3467.59,0
3466.29,-0
3465.00,0
3463.70,-0
3462.40,-0
3461.11,-0
3459.81,-0
3458.51,0
3457.22,0
3455.92,1
3454.63,0
3453.33,0
3452.03,0
3450.74,0
3449.44,0
3448.14,0
3446.85,0
3445.55,1
3444.25,-1
3442.96,-0
3441.66,1
3440.36,-0
3439.07,0
3437.77,-0
3436.47,-0
3435.18,0
3433.88,-0
3432.59,0
3431.29,0
3429.99,-0
3428.70,-0
3427.40,0
3426.10,-0
3424.81,-0
3423.51,0
3422.21,-1
3420.92,0
3419.62,-0
3418.32,0
3417.03,-1
3415.73,0
3414.43,-1
3413.14,0
3411.84,0
3410.55,0
3409.25,0
3407.95,-0
3406.66,1
3405.36,0
3404.06,0
3402.77,1
3401.47,1
3400.17,-0
3398.88,0
3397.58,0
3396.28,-0
3394.99,0
3393.69,0
3392.39,-0
3391.10,-0
3389.80,0
3388.51,-0
3387.21,-0
3385.91,-0
3384.62,0
3383.32,-0
3382.02,-0
3380.73,-1
3379.43,0
3378.13,-0
3376.84,-1
3375.54,0
