Created As Omnic File,PLAS 096
Raman Shift / cm-1,INT
3418.58,4
3417.61,7
3416.65,5
3415.68,2
3414.72,0
3413.76,-0
3412.79,-0
3411.83,-2
3410.86,-4
3409.90,-5
3408.94,-5
3407.97,-5
3407.01,-5
3406.04,-5
3405.08,-6
3404.11,-7
3403.15,-8
3402.19,-9
3401.22,-11
3400.26,-13
3399.29,-13
3398.33,-11
3397.36,-10
3396.40,-13
3395.44,-14
3394.47,-12
3393.51,-11
3392.54,-11
3391.58,-10
3390.61,-8
3389.65,-8
3388.69,-9
3387.72,-9
3386.76,-8
3385.79,-9
3384.83,-10
3383.87,-11
3382.90,-11
3381.94,-9
3380.97,-9
3380.01,-11
3379.04,-12
3378.08,-9
3377.12,-6
3376.15,-2
3375.19,-1
3374.22,-2
3373.26,1
3372.29,3
3371.33,1
3370.37,-1
3369.40,1
3368.44,4
3367.47,5
3366.51,6
3365.54,6
3364.58,8
3363.62,11
3362.65,13
3361.69,15
3360.72,19
3359.76,23
3358.80,26
3357.83,28
3356.87,31
3355.90,34
3354.94,37
3353.97,40
3353.01,41
3352.05,44
3351.08,48
3350.12,54
3349.15,60
3348.19,65
3347.22,69
3346.26,74
3345.30,79
3344.33,84
3343.37,88
3342.40,94
3341.44,101
3340.47,107
3339.51,114
3338.55,123
3337.58,131
3336.62,138
3335.65,145
3334.69,152
3333.73,160
3332.76,169
3331.80,179
3330.83,190
3329.87,199
3328.90,207
3327.94,216
3326.98,228
3326.01,243
3325.05,257
3324.08,266
3323.12,277
3322.15,291
3321.19,304
3320.23,316
3319.26,330
3318.30,344
3317.33,357
3316.37,370
3315.40,383
3314.44,397
3313.48,412
3312.51,427
3311.55,442
3310.58,458
3309.62,475
3308.66,492
3307.69,504
3306.73,517
3305.76,529
3304.80,540
3303.83,550
3302.87,555
3301.91,556
3300.94,557
3299.98,557
3299.01,551
3298.05,541
3297.08,525
3296.12,505
3295.16,488
3294.19,471
3293.23,450
3292.26,429
3291.30,409
3290.33,385
3289.37,361
3288.41,340
3287.44,322
3286.48,307
3285.51,293
3284.55,278
3283.59,262
3282.62,248
3281.66,235
3280.69,225
3279.73,216
3278.76,207
3277.80,198
3276.84,187
3275.87,178
3274.91,171
3273.94,163
3272.98,156
3272.01,149
3271.05,144
3270.09,139
3269.12,133
3268.16,128
3267.19,123
3266.23,116
3265.26,110
3264.30,104
3263.34,98
3262.37,93
3261.41,89
3260.44,86
3259.48,81
3258.51,76
3257.55,72
3256.59,71
3255.62,67
3254.66,61
3253.69,56
3252.73,50
3251.77,46
3250.80,41
3249.84,38
3248.87,36
3247.91,34
3246.94,32
3245.98,29
3245.02,26
3244.05,21
3243.09,18
3242.12,17
3241.16,14
3240.19,10
3239.23,8
3238.27,8
3237.30,8
3236.34,6
3235.37,2
3234.41,-2
3233.44,-3
3232.48,-3
3231.52,-3
3230.55,-5
3229.59,-6
3228.62,-8
3227.66,-10
3226.70,-12
3225.73,-13
3224.77,-12
3223.80,-10
3222.84,-9
3221.87,-13
3220.91,-15
3219.95,-13
3218.98,-11
3218.02,-10
3217.05,-9
3216.09,-10
3215.12,-9
3214.16,-7
3213.20,-5
3212.23,-5
3211.27,-6
3210.30,-7
3209.34,-7
3208.37,-7
3207.41,-5
3206.45,-3
3205.48,-4
3204.52,-5
3203.55,-2
3202.59,0
3201.63,-2
3200.66,-3
3199.70,-3
3198.73,-4
3197.77,-4
3196.80,-5
3195.84,-4
3194.88,-3
3193.91,-0
3192.95,1
3191.98,1
3191.02,1
3190.05,0
3189.09,0
3188.13,1
3187.16,1
3186.20,1
3185.23,3
3184.27,4
3183.30,2
3182.34,1
3181.38,2
3180.41,3
3179.45,5
3178.48,6
3177.52,6
3176.56,5
3175.59,4
3174.63,2
3173.66,1
3172.70,0
3171.73,-0
3170.77,1
3169.81,3
3168.84,3
3167.88,2
3166.91,2
3165.95,3
3164.98,3
3164.02,2
3163.06,1
3162.09,1
3161.13,4
3160.16,6
3159.20,4
3158.23,1
3157.27,-1
3156.31,-1
3155.34,1
3154.38,2
3153.41,1
3152.45,-2
3151.49,-2
3150.52,-1
3149.56,-0
3148.59,-0
3147.63,-1
3146.66,-1
3145.70,-0
3144.74,-0
3143.77,-1
3142.81,-1
3141.84,-1
3140.88,0
3139.91,1
3138.95,1
3137.99,0
3137.02,-1
3136.06,-3
3135.09,-3
3134.13,-3
3133.16,-4
3132.20,-4
3131.24,-5
3130.27,-7
3129.31,-10
3128.34,-10
3127.38,-8
3126.42,-7
3125.45,-9
3124.49,-9
3123.52,-9
3122.56,-10
3121.59,-12
3120.63,-13
3119.67,-14
3118.70,-14
3117.74,-14
3116.77,-15
3115.81,-16
3114.84,-16
3113.88,-16
3112.92,-15
3111.95,-15
3110.99,-15
3110.02,-14
3109.06,-13
3108.09,-12
3107.13,-14
3106.17,-16
3105.20,-17
3104.24,-16
3103.27,-15
3102.31,-12
3101.34,-10
3100.38,-10
3099.42,-10
3098.45,-9
3097.49,-8
3096.52,-9
3095.56,-9
3094.60,-8
3093.63,-7
3092.67,-7
3091.70,-7
3090.74,-7
3089.77,-6
3088.81,-4
3087.85,-3
3086.88,0
3085.92,3
3084.95,4
3083.99,4
3083.02,3
3082.06,1
3081.10,2
3080.13,3
3079.17,4
3078.20,5
3077.24,7
3076.27,8
3075.31,9
3074.35,10
3073.38,11
3072.42,11
3071.45,12
3070.49,12
3069.53,12
3068.56,12
3067.60,14
3066.63,15
3065.67,13
3064.70,13
3063.74,12
3062.78,12
3061.81,11
3060.85,12
3059.88,12
3058.92,14
3057.95,16
3056.99,17
3056.03,17
3055.06,14
3054.10,12
3053.13,13
3052.17,16
3051.20,17
3050.24,17
3049.28,16
3048.31,16
3047.35,16
3046.38,16
3045.42,17
3044.46,17
3043.49,16
3042.53,16
3041.56,16
3040.60,18
3039.63,19
3038.67,20
3037.71,21
3036.74,23
3035.78,25
3034.81,25
3033.85,23
3032.88,24
3031.92,29
3030.96,32
