# wavenumber, intensity
2.009300000000000068e+02,9.722890370760040382e-03
2.019000000000000057e+02,9.615845386840604289e-03
2.028600000000000136e+02,9.490986050613658964e-03
2.038199999999999932e+02,9.452961752506020346e-03
2.047899999999999920e+02,9.562318714089386787e-03
2.057500000000000000e+02,9.781484162731222606e-03
2.067199999999999989e+02,9.985745089904846453e-03
2.076800000000000068e+02,1.000966339770847403e-02
2.086500000000000057e+02,9.777081789349519741e-03
2.096100000000000136e+02,9.365156770773657921e-03
2.105699999999999932e+02,8.984374467602224135e-03
2.115399999999999920e+02,8.811143374464279476e-03
2.125000000000000000e+02,8.877434003468581344e-03
2.134699999999999989e+02,9.128135161909854342e-03
2.144300000000000068e+02,9.408511577961698943e-03
2.154000000000000057e+02,9.523366280283076385e-03
2.163600000000000136e+02,9.447940621991789828e-03
2.173199999999999932e+02,9.305705916558116783e-03
2.182899999999999920e+02,9.272008737586434624e-03
2.192500000000000000e+02,9.528914190518270738e-03
2.202199999999999989e+02,1.021574714994806510e-02
2.211800000000000068e+02,1.133829383122283291e-02
2.221399999999999864e+02,1.280522902622132156e-02
2.231100000000000136e+02,1.436599372341105033e-02
2.240699999999999932e+02,1.575194280750874878e-02
2.250399999999999920e+02,1.663664426400703403e-02
2.260000000000000000e+02,1.675182088726897070e-02
2.269699999999999989e+02,1.602619854489883977e-02
2.279300000000000068e+02,1.464971059182011356e-02
2.288899999999999864e+02,1.289642881059960451e-02
2.298600000000000136e+02,1.110673651676563102e-02
2.308199999999999932e+02,9.600489339897270297e-03
2.317899999999999920e+02,8.524052607366701048e-03
2.327500000000000000e+02,7.847801231060599209e-03
2.337199999999999989e+02,7.486279834033420649e-03
2.346800000000000068e+02,7.305640378471478513e-03
2.356399999999999864e+02,7.195087710537494477e-03
2.366100000000000136e+02,7.063685435713703067e-03
2.375699999999999932e+02,6.900220671369574829e-03
2.385399999999999920e+02,6.760410824968587050e-03
2.395000000000000000e+02,6.657170361255602270e-03
2.404699999999999989e+02,6.581727979798531261e-03
2.414300000000000068e+02,6.542048088282375294e-03
2.423899999999999864e+02,6.522816447678194719e-03
2.433600000000000136e+02,6.504492038815555544e-03
2.443199999999999932e+02,6.481455878004888961e-03
2.452899999999999920e+02,6.441592031665563725e-03
2.462500000000000000e+02,6.375033832009344668e-03
2.472100000000000080e+02,6.263507039670823673e-03
2.481800000000000068e+02,6.132317985210236286e-03
2.491399999999999864e+02,5.968288814022288356e-03
2.501100000000000136e+02,5.794668907280866102e-03
2.510699999999999932e+02,5.630852956456141277e-03
2.520399999999999920e+02,5.524004469734154245e-03
2.530000000000000000e+02,5.479813504258882091e-03
2.539600000000000080e+02,5.522436672945753300e-03
2.549300000000000068e+02,5.638223691757239531e-03
2.558899999999999864e+02,5.759859637787270899e-03
2.568600000000000136e+02,5.811902129578779864e-03
2.578199999999999932e+02,5.755578507357147523e-03
2.587900000000000205e+02,5.594981765937910058e-03
2.597500000000000000e+02,5.412582197181527166e-03
2.607099999999999795e+02,5.233552346322304857e-03
2.616800000000000068e+02,5.108810072255548854e-03
2.626399999999999864e+02,5.049158540051095628e-03
2.636100000000000136e+02,5.046549726195231553e-03
2.645699999999999932e+02,5.096836285583734166e-03
2.655400000000000205e+02,5.216783191873735660e-03
2.665000000000000000e+02,5.390520160775356777e-03
2.674599999999999795e+02,5.581247866071634665e-03
2.684300000000000068e+02,5.739867093141801623e-03
2.693899999999999864e+02,5.816128909720270738e-03
2.703600000000000136e+02,5.792938059626489590e-03
2.713199999999999932e+02,5.696708783151166293e-03
2.722799999999999727e+02,5.541563793764065111e-03
2.732500000000000000e+02,5.381594171060176401e-03
2.742099999999999795e+02,5.262939129323791591e-03
2.751800000000000068e+02,5.232022176656837831e-03
2.761399999999999864e+02,5.300524444330644361e-03
2.771100000000000136e+02,5.425066040408479603e-03
2.780699999999999932e+02,5.566794870078451904e-03
2.790299999999999727e+02,5.689981889731130990e-03
2.800000000000000000e+02,5.766072293860735783e-03
2.809599999999999795e+02,5.815965858854280426e-03
2.819300000000000068e+02,5.847777500888457630e-03
2.828899999999999864e+02,5.853045298097435921e-03
2.838600000000000136e+02,5.838048799217615895e-03
2.848199999999999932e+02,5.836104731200014543e-03
2.857799999999999727e+02,5.861001344199550170e-03
2.867500000000000000e+02,5.918035700965255767e-03
2.877099999999999795e+02,5.964158192083820857e-03
2.886800000000000068e+02,5.986387460147406421e-03
2.896399999999999864e+02,5.986613222884938808e-03
2.906100000000000136e+02,5.980555256094609307e-03
2.915699999999999932e+02,5.985517855528756440e-03
2.925299999999999727e+02,5.986383279355945129e-03
2.935000000000000000e+02,5.899920331674415701e-03
2.944599999999999795e+02,5.715614322023380121e-03
2.954300000000000068e+02,5.485595538814471567e-03
2.963899999999999864e+02,5.317862186414486735e-03
2.973600000000000136e+02,5.289696194512201466e-03
2.983199999999999932e+02,5.417628412444364105e-03
2.992799999999999727e+02,5.610045157480656255e-03
3.002500000000000000e+02,5.735138618028023591e-03
3.012099999999999795e+02,5.670528667180869779e-03
3.021800000000000068e+02,5.446149771618726335e-03
3.031399999999999864e+02,5.192275392477746151e-03
3.041000000000000227e+02,5.031937860127485944e-03
3.050699999999999932e+02,5.029989611318424168e-03
3.060299999999999727e+02,5.162771547316009381e-03
3.070000000000000000e+02,5.342675183585298727e-03
3.079599999999999795e+02,5.508318140267438184e-03
3.089300000000000068e+02,5.623866853967097491e-03
3.098899999999999864e+02,5.707578840883952356e-03
