# wavenumber, intensity
2.009300000000000068e+02,1.037547993145009929e-02
2.019000000000000057e+02,9.877275583733443123e-03
2.028600000000000136e+02,9.472745445206333034e-03
2.038199999999999932e+02,9.448371755579502290e-03
2.047899999999999920e+02,9.934277236203383279e-03
2.057500000000000000e+02,1.075528262578388100e-02
2.067199999999999989e+02,1.153428555651081315e-02
2.076800000000000068e+02,1.185636729742298341e-02
2.086500000000000057e+02,1.164630783587923546e-02
2.096100000000000136e+02,1.112562828137557414e-02
2.105699999999999932e+02,1.075484632848546646e-02
2.115399999999999920e+02,1.082682359093424529e-02
2.125000000000000000e+02,1.136351643547807780e-02
2.134699999999999989e+02,1.226615658717082440e-02
2.144300000000000068e+02,1.346866269300403887e-02
2.154000000000000057e+02,1.385274581759189487e-02
2.163600000000000136e+02,1.339589537869065490e-02
2.173199999999999932e+02,1.284059504395285850e-02
2.182899999999999920e+02,1.327627916796306554e-02
2.192500000000000000e+02,1.547475767193094882e-02
2.202199999999999989e+02,1.953963347654405838e-02
2.211800000000000068e+02,2.472422502662811189e-02
2.221399999999999864e+02,2.999337570990703167e-02
2.231100000000000136e+02,3.445232230970016879e-02
2.240699999999999932e+02,3.797043505644509542e-02
2.250399999999999920e+02,4.016957390227046676e-02
2.260000000000000000e+02,4.033669935126939221e-02
2.269699999999999989e+02,3.806758785220518138e-02
2.279300000000000068e+02,3.503723190164840379e-02
2.288899999999999864e+02,3.305146601847189225e-02
2.298600000000000136e+02,3.323576035576050747e-02
2.308199999999999932e+02,3.557377145254574796e-02
2.317899999999999920e+02,3.870850858383622500e-02
2.327500000000000000e+02,4.070167972926995448e-02
2.337199999999999989e+02,4.061339438130907170e-02
2.346800000000000068e+02,3.882880872005930323e-02
2.356399999999999864e+02,3.623694334640639031e-02
2.366100000000000136e+02,3.317741443593830164e-02
2.375699999999999932e+02,2.998928394875544079e-02
2.385399999999999920e+02,2.721246389595612450e-02
2.395000000000000000e+02,2.524608376302004201e-02
2.404699999999999989e+02,2.427501568636149937e-02
2.414300000000000068e+02,2.420099843924625529e-02
2.423899999999999864e+02,2.484550388381800284e-02
2.433600000000000136e+02,2.586660464798806042e-02
2.443199999999999932e+02,2.701641311524273503e-02
2.452899999999999920e+02,2.834400683576426827e-02
2.462500000000000000e+02,2.974466266607172366e-02
2.472100000000000080e+02,3.101054979838974851e-02
2.481800000000000068e+02,3.231474855025164017e-02
2.491399999999999864e+02,3.341967735484580732e-02
2.501100000000000136e+02,3.453514804551949258e-02
2.510699999999999932e+02,3.620819489197498603e-02
2.520399999999999920e+02,3.886741513507523116e-02
2.530000000000000000e+02,4.236360689052071776e-02
2.539600000000000080e+02,4.648675786404316002e-02
2.549300000000000068e+02,5.050855815428462181e-02
2.558899999999999864e+02,5.337288529499892992e-02
2.568600000000000136e+02,5.430055947817589990e-02
2.578199999999999932e+02,5.301828171761355929e-02
2.587900000000000205e+02,4.972519225057208531e-02
2.597500000000000000e+02,4.501190790933764369e-02
2.607099999999999795e+02,3.940882470717155944e-02
2.616800000000000068e+02,3.400003530470546709e-02
2.626399999999999864e+02,2.946465413492652466e-02
2.636100000000000136e+02,2.601600699320853402e-02
2.645699999999999932e+02,2.349695610114500843e-02
2.655400000000000205e+02,2.181090287846395095e-02
2.665000000000000000e+02,2.048577364808855730e-02
2.674599999999999795e+02,1.934557551322177438e-02
2.684300000000000068e+02,1.841704052726656632e-02
2.693899999999999864e+02,1.752013119954991954e-02
2.703600000000000136e+02,1.648557597003691422e-02
2.713199999999999932e+02,1.547580714381146041e-02
2.722799999999999727e+02,1.475663590208609564e-02
2.732500000000000000e+02,1.447047204148509819e-02
