# wavenumber, intensity
2.009300000000000068e+02,2.257045606565412713e-02
2.019000000000000057e+02,1.727681260656777767e-02
2.028600000000000136e+02,1.056149905276261049e-02
2.038199999999999932e+02,6.366451827904491025e-03
2.047899999999999920e+02,7.808271283699401086e-03
2.057500000000000000e+02,1.530155332709565337e-02
2.067199999999999989e+02,2.512714464502608172e-02
2.076800000000000068e+02,3.170663657971668770e-02
2.086500000000000057e+02,3.111851155591758428e-02
2.096100000000000136e+02,2.337470993574797262e-02
2.105699999999999932e+02,1.292376288157292587e-02
2.115399999999999920e+02,5.978618086750115551e-03
2.125000000000000000e+02,5.607554750031024972e-03
2.134699999999999989e+02,1.114257594614248385e-02
2.144300000000000068e+02,1.892248886980812256e-02
2.154000000000000057e+02,2.379440537234936426e-02
2.163600000000000136e+02,2.380528851490773187e-02
2.173199999999999932e+02,2.064227415141936181e-02
2.182899999999999920e+02,1.759518080351269928e-02
2.192500000000000000e+02,1.782901289503028078e-02
2.202199999999999989e+02,2.212084753436456899e-02
2.211800000000000068e+02,2.859735384576867281e-02
2.221399999999999864e+02,3.513053541765263910e-02
2.231100000000000136e+02,4.054352030855482708e-02
2.240699999999999932e+02,4.460081804332900746e-02
2.250399999999999920e+02,4.687670081492667506e-02
2.260000000000000000e+02,4.705414786310052611e-02
2.269699999999999989e+02,4.498349006544205553e-02
2.279300000000000068e+02,4.191668268216049154e-02
2.288899999999999864e+02,3.867414882371908447e-02
2.298600000000000136e+02,3.610707461687653191e-02
2.308199999999999932e+02,3.433838774804301441e-02
2.317899999999999920e+02,3.238155725663698081e-02
2.327500000000000000e+02,2.930732860662140643e-02
2.337199999999999989e+02,2.545471687110704290e-02
2.346800000000000068e+02,2.201220267694958127e-02
2.356399999999999864e+02,1.962423390190846592e-02
2.366100000000000136e+02,1.791062609931289365e-02
2.375699999999999932e+02,1.654954919639500810e-02
2.385399999999999920e+02,1.532499872563503063e-02
2.395000000000000000e+02,1.430397338559548717e-02
2.404699999999999989e+02,1.351159768823728853e-02
2.414300000000000068e+02,1.367741532122090237e-02
2.423899999999999864e+02,1.517624171422227337e-02
2.433600000000000136e+02,1.814325586270148019e-02
2.443199999999999932e+02,2.244665772783978677e-02
2.452899999999999920e+02,2.760872917585708783e-02
2.462500000000000000e+02,3.283524955760961511e-02
2.472100000000000080e+02,3.712360159132611914e-02
2.481800000000000068e+02,4.016675627811631261e-02
2.491399999999999864e+02,4.184437715598858520e-02
2.501100000000000136e+02,4.205592471750849159e-02
2.510699999999999932e+02,4.092977858526247043e-02
2.520399999999999920e+02,3.878084508037233508e-02
2.530000000000000000e+02,3.639057529804788638e-02
2.539600000000000080e+02,3.489456815721359018e-02
2.549300000000000068e+02,3.536144460802680134e-02
2.558899999999999864e+02,3.783253986241045391e-02
2.568600000000000136e+02,4.084026732895186529e-02
2.578199999999999932e+02,4.220689981702316351e-02
2.587900000000000205e+02,4.005690909257053622e-02
2.597500000000000000e+02,3.471834416696599479e-02
2.607099999999999795e+02,2.802411281502876356e-02
2.616800000000000068e+02,2.256502485927371765e-02
2.626399999999999864e+02,2.044109148757175878e-02
2.636100000000000136e+02,2.216116698631529977e-02
2.645699999999999932e+02,2.648003327878296551e-02
2.655400000000000205e+02,3.143812354058250075e-02
2.665000000000000000e+02,3.537301183383087522e-02
2.674599999999999795e+02,3.752538648474899180e-02
2.684300000000000068e+02,3.823374432156416425e-02
2.693899999999999864e+02,3.808664569377909204e-02
2.703600000000000136e+02,3.694080625595270312e-02
2.713199999999999932e+02,3.452269635847667051e-02
2.722799999999999727e+02,3.038144295254569319e-02
2.732500000000000000e+02,2.486773198605114754e-02
2.742099999999999795e+02,1.985939270032987744e-02
2.751800000000000068e+02,1.770181487077918114e-02
2.761399999999999864e+02,1.964850849225990501e-02
2.771100000000000136e+02,2.507697854028624260e-02
2.780699999999999932e+02,3.167091914233328281e-02
2.790299999999999727e+02,3.675790727160306581e-02
2.800000000000000000e+02,3.926469923357547159e-02
2.809599999999999795e+02,3.975255423728052406e-02
2.819300000000000068e+02,3.938963771013373472e-02
2.828899999999999864e+02,3.891540218197162004e-02
2.838600000000000136e+02,3.784551671429822045e-02
2.848199999999999932e+02,3.535746448732035585e-02
2.857799999999999727e+02,3.158887061234912086e-02
2.867500000000000000e+02,2.731683292757136616e-02
2.877099999999999795e+02,2.425419223315451386e-02
2.886800000000000068e+02,2.384726635048504961e-02
2.896399999999999864e+02,2.580757944750935659e-02
2.906100000000000136e+02,2.867538079545609367e-02
2.915699999999999932e+02,3.083372562743446135e-02
2.925299999999999727e+02,3.139738949272505297e-02
2.935000000000000000e+02,2.927973724901405950e-02
2.944599999999999795e+02,2.491524467698719505e-02
2.954300000000000068e+02,2.020431576511486083e-02
2.963899999999999864e+02,1.752129981289450231e-02
2.973600000000000136e+02,1.826046212559537599e-02
2.983199999999999932e+02,2.304249423550860584e-02
2.992799999999999727e+02,3.020138395015694796e-02
3.002500000000000000e+02,3.539015537458232996e-02
3.012099999999999795e+02,3.439541541504425454e-02
3.021800000000000068e+02,2.641541850668692112e-02
3.031399999999999864e+02,1.521987793343000314e-02
3.041000000000000227e+02,7.058909911688513242e-03
3.050699999999999932e+02,6.225820896266925225e-03
3.060299999999999727e+02,1.411323853860290550e-02
3.070000000000000000e+02,2.777664051816986640e-02
3.079599999999999795e+02,4.204605733492265685e-02
3.089300000000000068e+02,5.242965328401441583e-02
3.098899999999999864e+02,5.739566232763676501e-02
3.108500000000000227e+02,5.707619545153853197e-02
3.118199999999999932e+02,5.354889639441042654e-02
3.127799999999999727e+02,4.893423665213106344e-02
3.137500000000000000e+02,4.456373243945314921e-02
3.147099999999999795e+02,4.242381639553873679e-02
3.156800000000000068e+02,4.417357696121965160e-02
3.166399999999999864e+02,5.000445379652899980e-02
3.176000000000000227e+02,5.787383651691351688e-02
3.185699999999999932e+02,6.436294654388895198e-02
3.195299999999999727e+02,6.738398253904424873e-02
3.205000000000000000e+02,6.696793554642295476e-02
3.214599999999999795e+02,6.490857548722837878e-02
3.224300000000000068e+02,6.386111965811999691e-02
3.233899999999999864e+02,6.522990804490659544e-02
3.243500000000000227e+02,6.733437613877692185e-02
3.253199999999999932e+02,6.735668139857127479e-02
3.262799999999999727e+02,6.399397691650191011e-02
3.272500000000000000e+02,5.794777969691903424e-02
3.282099999999999795e+02,5.195819554842938393e-02
3.291700000000000159e+02,4.802150376298557066e-02
3.301399999999999864e+02,4.658720922290034844e-02
3.311000000000000227e+02,4.699985652908525435e-02
3.320699999999999932e+02,4.796088984138986017e-02
3.330299999999999727e+02,4.871120478398823644e-02
3.340000000000000000e+02,4.912926256675866771e-02
3.349599999999999795e+02,4.894684036770170776e-02
3.359200000000000159e+02,4.797173152435664500e-02
3.368899999999999864e+02,4.624819414979009641e-02
3.378500000000000227e+02,4.463879502840598784e-02
3.388199999999999932e+02,4.441414623622615826e-02
3.397799999999999727e+02,4.647412818928051137e-02
3.407500000000000000e+02,5.027097677531031789e-02
3.417099999999999795e+02,5.427586958744677614e-02
3.426700000000000159e+02,5.727248588368217402e-02
3.436399999999999864e+02,5.785012163103682437e-02
3.446000000000000227e+02,5.547423832668352262e-02
3.455699999999999932e+02,5.049498294383487906e-02
3.465299999999999727e+02,4.438356978808925823e-02
3.475000000000000000e+02,3.861739064405881466e-02
3.484599999999999795e+02,3.592013332243486345e-02
3.494200000000000159e+02,3.962247477147539526e-02
3.503899999999999864e+02,5.041444768890893796e-02
3.513500000000000227e+02,6.493376218857323245e-02
3.523199999999999932e+02,7.758306257974691145e-02
3.532799999999999727e+02,8.296462110090334352e-02
3.542400000000000091e+02,7.867925415771845343e-02
3.552099999999999795e+02,6.649481942721063854e-02
3.561700000000000159e+02,5.238253445919111712e-02
3.571399999999999864e+02,4.289454858828677802e-02
3.581000000000000227e+02,4.122016155848761548e-02
3.590699999999999932e+02,4.555691766433963424e-02
3.600299999999999727e+02,5.223906354558977005e-02
3.609900000000000091e+02,5.744251166512132079e-02
3.619599999999999795e+02,5.879249812752902760e-02
3.629200000000000159e+02,5.651025130875979990e-02
3.638899999999999864e+02,5.264213368632541384e-02
3.648500000000000227e+02,4.914433312797648196e-02
3.658199999999999932e+02,4.711223274966369612e-02
3.667799999999999727e+02,4.705678054710926705e-02
3.677400000000000091e+02,4.819708512957771029e-02
3.687099999999999795e+02,4.960275182228813390e-02
3.696700000000000159e+02,5.116382979071770060e-02
3.706399999999999864e+02,5.281678221212658675e-02
3.716000000000000227e+02,5.417682262527698245e-02
3.725699999999999932e+02,5.423685611260306572e-02
3.735299999999999727e+02,5.246796194581652278e-02
3.744900000000000091e+02,4.922389408251995335e-02
3.754599999999999795e+02,4.540372447672412493e-02
3.764200000000000159e+02,4.252686420821035623e-02
3.773899999999999864e+02,4.185349826594132044e-02
3.783500000000000227e+02,4.366534456868807756e-02
3.793100000000000023e+02,4.738534780336541019e-02
3.802799999999999727e+02,5.232925888514689677e-02
3.812400000000000091e+02,5.784918879024584376e-02
3.822099999999999795e+02,6.236961088287597266e-02
3.831700000000000159e+02,6.462356153099631240e-02
3.841399999999999864e+02,6.245449939482410062e-02
3.851000000000000227e+02,5.540659700446594338e-02
3.860600000000000023e+02,4.659896301686401732e-02
3.870299999999999727e+02,4.093993618498324716e-02
3.879900000000000091e+02,4.202277777474736076e-02
3.889599999999999795e+02,4.835009174903535933e-02
3.899200000000000159e+02,5.577363876088446693e-02
3.908899999999999864e+02,6.005991781506714311e-02
3.918500000000000227e+02,5.868766755245782146e-02
3.928100000000000023e+02,5.226076764132028124e-02
3.937799999999999727e+02,4.412052941492625169e-02
3.947400000000000091e+02,3.892723889511530422e-02
3.957099999999999795e+02,3.772866285792523394e-02
3.966700000000000159e+02,3.977614474438531667e-02
3.976399999999999864e+02,4.417092354741482957e-02
3.986000000000000227e+02,4.997087152806637539e-02
3.995600000000000023e+02,5.564592249175021738e-02
4.005299999999999727e+02,5.855414694062446163e-02
4.014900000000000091e+02,5.820731673466768979e-02
4.024599999999999795e+02,5.515423247590633266e-02
4.034200000000000159e+02,5.065509988309795097e-02
4.043799999999999955e+02,4.535420099563906154e-02
4.053500000000000227e+02,4.041499557740107357e-02
