# wavenumber, intensity
2.009300000000000068e+02,8.913163261634134485e-03
2.019000000000000057e+02,8.562833914408062019e-03
2.028600000000000136e+02,7.947131756707134093e-03
2.038199999999999932e+02,7.677410111607146231e-03
2.047899999999999920e+02,8.228292902634421965e-03
2.057500000000000000e+02,9.652156624783810035e-03
2.067199999999999989e+02,1.139567444733427699e-02
2.076800000000000068e+02,1.264488993675013176e-02
2.086500000000000057e+02,1.289442343838685667e-02
2.096100000000000136e+02,1.218313813446497522e-02
2.105699999999999932e+02,1.118182768115988032e-02
2.115399999999999920e+02,1.077445911557143796e-02
2.125000000000000000e+02,1.130954820552645609e-02
2.134699999999999989e+02,1.258607201551535312e-02
2.144300000000000068e+02,1.404255602156808877e-02
2.154000000000000057e+02,1.511708035329392338e-02
2.163600000000000136e+02,1.563223080109371263e-02
2.173199999999999932e+02,1.577022916966099031e-02
2.182899999999999920e+02,1.582876807868030186e-02
2.192500000000000000e+02,1.607591119681835157e-02
2.202199999999999989e+02,1.659707113848623433e-02
2.211800000000000068e+02,1.727723048354284224e-02
2.221399999999999864e+02,1.805200448049612896e-02
2.231100000000000136e+02,1.888363794755740233e-02
2.240699999999999932e+02,1.967348128694705947e-02
2.250399999999999920e+02,2.018759348736869422e-02
2.260000000000000000e+02,2.026831118469531873e-02
2.269699999999999989e+02,1.999399120366238472e-02
2.279300000000000068e+02,1.959904673008455028e-02
2.288899999999999864e+02,1.929100651314573020e-02
2.298600000000000136e+02,1.918329170117831842e-02
2.308199999999999932e+02,1.917071737182112282e-02
2.317899999999999920e+02,1.903304630604493036e-02
2.327500000000000000e+02,1.862718816235302277e-02
2.337199999999999989e+02,1.802676728905966766e-02
2.346800000000000068e+02,1.749234353592558563e-02
2.356399999999999864e+02,1.728150419949459754e-02
2.366100000000000136e+02,1.738913316154950400e-02
2.375699999999999932e+02,1.768434149939387620e-02
2.385399999999999920e+02,1.795983655110289581e-02
2.395000000000000000e+02,1.808046104364779971e-02
2.404699999999999989e+02,1.809689593625335088e-02
2.414300000000000068e+02,1.820125455320770885e-02
2.423899999999999864e+02,1.854325377612109707e-02
2.433600000000000136e+02,1.921604344275987253e-02
2.443199999999999932e+02,2.014718768953456182e-02
2.452899999999999920e+02,2.117261391979541676e-02
2.462500000000000000e+02,2.216829852102836576e-02
2.472100000000000080e+02,2.308110039745635625e-02
2.481800000000000068e+02,2.390533199238268486e-02
2.491399999999999864e+02,2.458395677025508250e-02
2.501100000000000136e+02,2.503053728333319572e-02
2.510699999999999932e+02,2.523276480042631678e-02
2.520399999999999920e+02,2.531105723772754390e-02
2.530000000000000000e+02,2.549246078544351729e-02
2.539600000000000080e+02,2.604173925623288685e-02
2.549300000000000068e+02,2.714069593646628240e-02
2.558899999999999864e+02,2.866746955829835644e-02
2.568600000000000136e+02,3.030536784330608094e-02
2.578199999999999932e+02,3.171446538052246494e-02
2.587900000000000205e+02,3.277793921883619815e-02
2.597500000000000000e+02,3.367004321794592886e-02
2.607099999999999795e+02,3.463783732888710970e-02
2.616800000000000068e+02,3.591681590980877470e-02
2.626399999999999864e+02,3.756890894127022651e-02
2.636100000000000136e+02,3.950913037561264163e-02
2.645699999999999932e+02,4.157373491897727730e-02
2.655400000000000205e+02,4.360665279623612833e-02
2.665000000000000000e+02,4.547214993026155866e-02
2.674599999999999795e+02,4.704197728316347749e-02
2.684300000000000068e+02,4.833820096523904625e-02
2.693899999999999864e+02,4.936670706110733026e-02
2.703600000000000136e+02,5.022729609393607186e-02
2.713199999999999932e+02,5.108275559449877712e-02
2.722799999999999727e+02,5.200135234001392742e-02
2.732500000000000000e+02,5.303287927967487853e-02
2.742099999999999795e+02,5.433316741854068987e-02
2.751800000000000068e+02,5.601320459648904959e-02
2.761399999999999864e+02,5.793681943840105208e-02
2.771100000000000136e+02,5.972441850816034847e-02
2.780699999999999932e+02,6.080600667799096470e-02
2.790299999999999727e+02,6.077205572044564602e-02
2.800000000000000000e+02,5.949763523331059317e-02
2.809599999999999795e+02,5.704581002567455511e-02
2.819300000000000068e+02,5.368794362221224192e-02
2.828899999999999864e+02,4.970019641145375505e-02
2.838600000000000136e+02,4.525294559299088831e-02
2.848199999999999932e+02,4.058227037750081895e-02
2.857799999999999727e+02,3.603679384520080270e-02
2.867500000000000000e+02,3.188547572321814155e-02
2.877099999999999795e+02,2.829527262869740295e-02
2.886800000000000068e+02,2.538277679111028765e-02
2.896399999999999864e+02,2.314486810270287298e-02
2.906100000000000136e+02,2.151785665971167258e-02
2.915699999999999932e+02,2.027927046257525442e-02
2.925299999999999727e+02,1.911564197020519662e-02
2.935000000000000000e+02,1.766212246894027435e-02
2.944599999999999795e+02,1.587252202309817617e-02
2.954300000000000068e+02,1.405037641202620639e-02
2.963899999999999864e+02,1.267058588865615718e-02
2.973600000000000136e+02,1.203609601418774433e-02
2.983199999999999932e+02,1.216607009875509196e-02
2.992799999999999727e+02,1.262787287442600041e-02
3.002500000000000000e+02,1.276704899647912277e-02
3.012099999999999795e+02,1.203325491864926967e-02
3.021800000000000068e+02,1.031873290401282700e-02
3.031399999999999864e+02,8.102326935852527390e-03
3.041000000000000227e+02,6.156364288618160728e-03
3.050699999999999932e+02,5.109674108179004630e-03
3.060299999999999727e+02,5.233936490761770428e-03
