Created As Omnic File,BIOL 012
Raman Shift / cm-1,INT
3418.58,-16
3417.61,6
3416.65,21
3415.68,28
3414.72,28
3413.76,23
3412.79,16
3411.83,-2
3410.86,-38
3409.90,-47
3408.94,-29
3407.97,-8
3407.01,-8
3406.04,-8
3405.08,5
3404.11,19
3403.15,33
3402.19,47
3401.22,39
3400.26,8
3399.29,-8
3398.33,-20
3397.36,-28
3396.40,-26
3395.44,-18
3394.47,-0
3393.51,14
3392.54,25
3391.58,44
3390.61,69
3389.65,85
3388.69,68
3387.72,30
3386.76,6
3385.79,5
3384.83,18
3383.87,32
3382.90,34
3381.94,23
3380.97,8
3380.01,-15
3379.04,-29
3378.08,-15
3377.12,1
3376.15,22
3375.19,43
3374.22,53
3373.26,58
3372.29,48
3371.33,28
3370.37,13
3369.40,11
3368.44,20
3367.47,28
3366.51,20
3365.54,-3
3364.58,-12
3363.62,-16
3362.65,-2
3361.69,14
3360.72,-4
3359.76,-28
3358.80,-20
3357.83,4
3356.87,21
3355.90,27
3354.94,12
3353.97,-6
3353.01,-22
3352.05,-41
3351.08,-40
3350.12,-7
3349.15,30
3348.19,35
3347.22,19
3346.26,25
3345.30,42
3344.33,43
3343.37,19
3342.40,-3
3341.44,-1
3340.47,25
3339.51,49
3338.55,45
3337.58,25
3336.62,9
3335.65,-9
3334.69,-26
3333.73,-21
3332.76,-2
3331.80,25
3330.83,41
3329.87,21
3328.90,-27
3327.94,-61
3326.98,-58
3326.01,-34
3325.05,1
3324.08,28
3323.12,12
3322.15,-28
3321.19,-22
3320.23,9
3319.26,30
3318.30,39
3317.33,29
3316.37,2
3315.40,-21
3314.44,-27
3313.48,-21
3312.51,-18
3311.55,-17
3310.58,-20
3309.62,-9
3308.66,14
3307.69,24
3306.73,17
3305.76,3
3304.80,-5
3303.83,-4
3302.87,-7
3301.91,-18
3300.94,-21
3299.98,-12
3299.01,-1
3298.05,10
3297.08,23
3296.12,17
3295.16,1
3294.19,22
3293.23,60
3292.26,79
3291.30,53
3290.33,-6
3289.37,-52
3288.41,-53
3287.44,-39
3286.48,-49
3285.51,-66
3284.55,-50
3283.59,-7
3282.62,33
3281.66,59
3280.69,49
3279.73,34
3278.76,33
3277.80,17
3276.84,-16
3275.87,-37
3274.91,-26
3273.94,-2
3272.98,13
3272.01,7
3271.05,-5
3270.09,15
3269.12,44
3268.16,29
3267.19,-5
3266.23,-15
3265.26,1
3264.30,27
3263.34,42
3262.37,41
3261.41,42
3260.44,58
3259.48,71
3258.51,65
3257.55,64
3256.59,78
3255.62,74
3254.66,60
3253.69,45
3252.73,31
3251.77,32
3250.80,37
3249.84,18
3248.87,0
3247.91,17
3246.94,53
3245.98,63
3245.02,52
3244.05,31
3243.09,19
3242.12,22
3241.16,16
3240.19,2
3239.23,11
3238.27,41
3237.30,60
3236.34,47
3235.37,34
3234.41,40
3233.44,26
3232.48,12
3231.52,10
3230.55,10
3229.59,11
3228.62,9
3227.66,9
3226.70,10
3225.73,-13
3224.77,-16
3223.80,13
3222.84,21
3221.87,4
3220.91,-1
3219.95,17
3218.98,40
3218.02,52
3217.05,45
3216.09,36
3215.12,49
3214.16,72
3213.20,73
3212.23,55
3211.27,45
3210.30,35
3209.34,26
3208.37,26
3207.41,29
3206.45,35
3205.48,53
3204.52,54
3203.55,23
3202.59,16
3201.63,55
3200.66,86
3199.70,91
3198.73,66
3197.77,24
3196.80,8
3195.84,27
3194.88,46
3193.91,46
3192.95,45
3191.98,42
3191.02,27
3190.05,15
3189.09,21
3188.13,36
3187.16,55
3186.20,78
3185.23,95
3184.27,88
3183.30,56
3182.34,29
3181.38,32
3180.41,47
3179.45,52
3178.48,55
3177.52,63
3176.56,84
3175.59,101
3174.63,79
3173.66,35
3172.70,5
3171.73,18
3170.77,77
3169.81,132
3168.84,125
3167.88,78
3166.91,55
3165.95,47
3164.98,24
3164.02,0
3163.06,5
3162.09,31
3161.13,48
3160.16,52
3159.20,39
3158.23,10
3157.27,11
3156.31,33
3155.34,51
3154.38,79
3153.41,81
3152.45,39
3151.49,2
3150.52,-0
3149.56,18
3148.59,30
3147.63,36
3146.66,49
3145.70,72
3144.74,85
3143.77,81
3142.81,75
3141.84,75
3140.88,78
3139.91,69
3138.95,42
3137.99,25
3137.02,38
3136.06,46
3135.09,38
3134.13,28
3133.16,28
3132.20,34
3131.24,25
3130.27,10
3129.31,4
3128.34,6
3127.38,4
3126.42,-9
3125.45,-8
3124.49,28
3123.52,69
3122.56,77
3121.59,50
3120.63,13
3119.67,0
3118.70,12
3117.74,20
3116.77,17
3115.81,11
3114.84,5
3113.88,0
3112.92,-9
3111.95,3
3110.99,51
3110.02,84
3109.06,74
3108.09,46
3107.13,3
3106.17,-40
