Created As Omnic File,PLAS 160
Raman Shift / cm-1,INT
3418.58,4
3417.61,4
3416.65,4
3415.68,4
3414.72,2
3413.76,-0
3412.79,-0
3411.83,0
3410.86,1
3409.90,1
3408.94,1
3407.97,0
3407.01,1
3406.04,2
3405.08,3
3404.11,5
3403.15,6
3402.19,5
3401.22,3
3400.26,4
3399.29,5
3398.33,4
3397.36,3
3396.40,3
3395.44,3
3394.47,5
3393.51,6
3392.54,7
3391.58,7
3390.61,8
3389.65,5
3388.69,-1
3387.72,-0
3386.76,3
3385.79,2
3384.83,2
3383.87,2
3382.90,3
3381.94,3
3380.97,2
3380.01,-1
3379.04,-3
3378.08,-3
3377.12,0
3376.15,2
3375.19,5
3374.22,6
3373.26,5
3372.29,2
3371.33,1
3370.37,1
3369.40,-0
3368.44,-1
3367.47,-1
3366.51,-1
3365.54,-2
3364.58,-3
3363.62,-5
3362.65,-4
3361.69,-2
3360.72,-2
3359.76,-2
3358.80,-2
3357.83,-0
3356.87,1
3355.90,1
3354.94,-2
3353.97,-4
3353.01,-5
3352.05,-8
3351.08,-9
3350.12,-9
3349.15,-7
3348.19,-3
3347.22,2
3346.26,1
3345.30,-3
3344.33,-4
3343.37,-6
3342.40,-5
3341.44,-4
3340.47,-5
3339.51,-4
3338.55,1
3337.58,2
3336.62,-1
3335.65,-3
3334.69,-3
3333.73,-1
3332.76,1
3331.80,-2
3330.83,-5
3329.87,-5
3328.90,-5
3327.94,-7
3326.98,-8
3326.01,-7
3325.05,-6
3324.08,-3
3323.12,-1
3322.15,1
3321.19,1
3320.23,-1
3319.26,-2
3318.30,-3
3317.33,-2
3316.37,-7
3315.40,-8
3314.44,-8
3313.48,-7
3312.51,-6
3311.55,-7
3310.58,-6
3309.62,-0
3308.66,3
3307.69,0
3306.73,-2
3305.76,-3
3304.80,-3
3303.83,-2
3302.87,-1
3301.91,-1
3300.94,-2
3299.98,-2
3299.01,2
3298.05,4
3297.08,3
3296.12,1
3295.16,-1
3294.19,1
3293.23,2
3292.26,3
3291.30,5
3290.33,3
3289.37,1
3288.41,-1
3287.44,-2
3286.48,-1
3285.51,3
3284.55,5
3283.59,7
3282.62,9
3281.66,11
3280.69,9
3279.73,6
3278.76,4
3277.80,2
3276.84,1
3275.87,-0
3274.91,-0
3273.94,-0
3272.98,-2
3272.01,0
3271.05,5
3270.09,5
3269.12,-2
3268.16,-2
3267.19,1
3266.23,1
3265.26,2
3264.30,6
3263.34,7
3262.37,5
3261.41,3
3260.44,6
3259.48,7
3258.51,3
3257.55,1
3256.59,3
3255.62,4
3254.66,4
3253.69,1
3252.73,0
3251.77,-3
3250.80,-3
3249.84,-4
3248.87,-4
3247.91,-1
3246.94,2
3245.98,3
3245.02,3
3244.05,1
3243.09,-2
3242.12,-4
3241.16,-6
3240.19,-5
3239.23,-3
3238.27,-4
3237.30,-3
3236.34,-1
3235.37,-2
3234.41,-4
3233.44,-6
3232.48,-8
3231.52,-7
3230.55,-6
3229.59,-7
3228.62,-8
3227.66,-9
3226.70,-9
3225.73,-10
3224.77,-11
3223.80,-9
3222.84,-9
3221.87,-11
3220.91,-11
3219.95,-8
3218.98,-7
3218.02,-10
3217.05,-11
3216.09,-11
3215.12,-9
3214.16,-7
3213.20,-8
3212.23,-10
3211.27,-10
3210.30,-12
3209.34,-14
3208.37,-15
3207.41,-14
3206.45,-12
3205.48,-12
3204.52,-12
3203.55,-12
3202.59,-10
3201.63,-9
3200.66,-9
3199.70,-13
3198.73,-14
3197.77,-12
3196.80,-11
3195.84,-10
3194.88,-10
3193.91,-10
3192.95,-11
3191.98,-12
3191.02,-13
3190.05,-14
3189.09,-12
3188.13,-9
3187.16,-7
3186.20,-5
3185.23,-5
3184.27,-5
3183.30,-5
3182.34,-5
3181.38,-5
3180.41,-4
3179.45,-2
3178.48,-3
3177.52,-4
3176.56,-3
3175.59,-3
3174.63,-4
3173.66,-6
3172.70,-7
3171.73,-6
3170.77,-4
3169.81,-3
3168.84,-2
3167.88,-1
3166.91,-3
3165.95,-5
3164.98,-5
3164.02,-4
3163.06,-6
3162.09,-6
3161.13,-1
3160.16,2
3159.20,1
3158.23,-2
3157.27,-3
3156.31,-3
3155.34,-3
3154.38,-2
3153.41,-2
3152.45,-6
3151.49,-8
3150.52,-5
3149.56,-1
3148.59,-1
3147.63,-5
3146.66,-3
3145.70,3
3144.74,1
3143.77,-2
3142.81,-2
3141.84,0
3140.88,1
3139.91,-0
3138.95,-3
3137.99,-4
3137.02,-1
3136.06,2
3135.09,2
3134.13,1
3133.16,2
3132.20,3
3131.24,3
3130.27,2
3129.31,1
3128.34,0
3127.38,0
3126.42,1
3125.45,4
3124.49,4
3123.52,1
3122.56,2
3121.59,4
3120.63,3
3119.67,3
3118.70,3
3117.74,3
3116.77,-0
3115.81,-3
3114.84,-5
3113.88,-6
3112.92,-8
3111.95,-7
3110.99,-1
3110.02,3
3109.06,0
3108.09,-3
3107.13,-4
3106.17,-8
3105.20,-13
3104.24,-16
3103.27,-13
3102.31,-9
3101.34,-7
3100.38,-7
3099.42,-6
3098.45,-7
3097.49,-8
3096.52,-5
3095.56,-2
3094.60,-2
3093.63,-4
3092.67,-5
3091.70,-3
3090.74,-2
3089.77,-1
3088.81,0
3087.85,1
3086.88,3
3085.92,5
3084.95,3
3083.99,3
3083.02,6
3082.06,8
3081.10,7
3080.13,5
3079.17,4
3078.20,4
3077.24,5
3076.27,9
3075.31,12
3074.35,14
3073.38,14
3072.42,13
3071.45,14
3070.49,15
3069.53,16
3068.56,17
3067.60,19
3066.63,21
3065.67,22
3064.70,24
3063.74,26
3062.78,28
3061.81,31
3060.85,31
3059.88,32
3058.92,35
3057.95,40
3056.99,46
3056.03,51
3055.06,52
3054.10,54
3053.13,61
3052.17,67
3051.20,71
3050.24,73
3049.28,75
3048.31,77
3047.35,78
3046.38,83
3045.42,91
3044.46,96
3043.49,96
3042.53,97
3041.56,100
3040.60,105
3039.63,110
