Created As Omnic File,PLAS 252
Raman Shift / cm-1,INT
3418.58,-34
3417.61,-17
3416.65,-10
3415.68,-9
3414.72,-0
3413.76,9
3412.79,5
3411.83,-6
3410.86,-13
3409.90,-15
3408.94,-7
3407.97,9
3407.01,18
3406.04,10
3405.08,2
3404.11,14
3403.15,37
3402.19,52
3401.22,49
3400.26,26
3399.29,12
3398.33,8
3397.36,3
3396.40,-2
3395.44,0
3394.47,11
3393.51,18
3392.54,21
3391.58,32
3390.61,48
3389.65,50
3388.69,31
3387.72,14
3386.76,14
3385.79,32
3384.83,46
3383.87,36
3382.90,30
3381.94,39
3380.97,38
3380.01,20
3379.04,0
3378.08,-3
3377.12,10
3376.15,34
3375.19,49
3374.22,53
3373.26,53
3372.29,43
3371.33,31
3370.37,15
3369.40,-3
3368.44,-7
3367.47,5
3366.51,5
3365.54,-8
3364.58,2
3363.62,17
3362.65,15
3361.69,5
3360.72,-1
3359.76,1
3358.80,16
3357.83,36
3356.87,47
3355.90,45
3354.94,25
3353.97,11
3353.01,5
3352.05,-5
3351.08,-8
3350.12,6
3349.15,26
3348.19,40
3347.22,46
3346.26,35
3345.30,25
3344.33,40
3343.37,40
3342.40,19
3341.44,11
3340.47,24
3339.51,38
3338.55,34
3337.58,24
3336.62,18
3335.65,13
3334.69,11
3333.73,11
3332.76,13
3331.80,22
3330.83,26
3329.87,13
3328.90,-15
3327.94,-33
3326.98,-30
3326.01,-18
3325.05,4
3324.08,27
3323.12,19
3322.15,-9
3321.19,3
3320.23,37
3319.26,39
3318.30,23
3317.33,17
3316.37,16
3315.40,16
3314.44,21
3313.48,17
3312.51,9
3311.55,5
3310.58,3
3309.62,12
3308.66,29
3307.69,39
3306.73,37
3305.76,28
3304.80,19
3303.83,14
3302.87,13
3301.91,14
3300.94,20
3299.98,32
3299.01,34
3298.05,33
3297.08,36
3296.12,31
3295.16,24
3294.19,42
3293.23,73
3292.26,86
3291.30,63
3290.33,29
3289.37,16
3288.41,19
3287.44,25
3286.48,11
3285.51,-7
3284.55,0
3283.59,25
3282.62,44
3281.66,53
3280.69,47
3279.73,40
3278.76,40
3277.80,31
3276.84,11
3275.87,-5
3274.91,-4
3273.94,4
3272.98,7
3272.01,-0
3271.05,-8
3270.09,-1
3269.12,10
3268.16,5
3267.19,-5
3266.23,0
3265.26,14
3264.30,13
3263.34,7
3262.37,9
3261.41,18
3260.44,27
3259.48,33
3258.51,28
3257.55,21
3256.59,13
3255.62,6
3254.66,4
3253.69,6
3252.73,8
3251.77,7
3250.80,2
3249.84,-1
3248.87,0
3247.91,0
3246.94,2
3245.98,5
3245.02,4
3244.05,11
3243.09,19
3242.12,21
3241.16,14
3240.19,3
3239.23,6
3238.27,21
3237.30,33
3236.34,30
3235.37,19
3234.41,12
3233.44,20
3232.48,36
3231.52,38
3230.55,28
3229.59,20
3228.62,10
3227.66,4
3226.70,3
3225.73,4
3224.77,15
3223.80,29
3222.84,26
3221.87,7
3220.91,2
3219.95,22
3218.98,32
3218.02,22
3217.05,18
3216.09,31
3215.12,44
3214.16,49
3213.20,51
3212.23,48
3211.27,43
3210.30,35
3209.34,25
3208.37,21
3207.41,24
3206.45,31
3205.48,41
3204.52,44
3203.55,32
3202.59,30
3201.63,45
3200.66,57
3199.70,57
3198.73,50
3197.77,42
3196.80,32
3195.84,28
3194.88,33
3193.91,37
3192.95,34
3191.98,26
3191.02,17
3190.05,15
3189.09,22
3188.13,35
3187.16,51
3186.20,62
3185.23,56
3184.27,39
3183.30,36
3182.34,35
3181.38,34
3180.41,38
3179.45,40
3178.48,33
3177.52,21
3176.56,24
3175.59,33
3174.63,22
3173.66,0
3172.70,-11
3171.73,2
3170.77,31
3169.81,51
3168.84,54
3167.88,42
3166.91,26
3165.95,14
3164.98,-5
3164.02,-22
3163.06,-20
3162.09,-1
3161.13,21
3160.16,33
3159.20,24
3158.23,-0
3157.27,-9
3156.31,5
3155.34,33
3154.38,62
3153.41,70
3152.45,43
3151.49,12
3150.52,5
3149.56,14
3148.59,22
3147.63,29
3146.66,32
3145.70,37
3144.74,37
3143.77,29
3142.81,34
3141.84,43
3140.88,42
3139.91,32
3138.95,18
3137.99,13
3137.02,24
3136.06,31
3135.09,30
3134.13,24
3133.16,17
3132.20,19
3131.24,20
3130.27,9
3129.31,-3
3128.34,1
3127.38,15
3126.42,10
3125.45,-4
3124.49,9
3123.52,30
3122.56,35
3121.59,23
3120.63,14
3119.67,20
3118.70,21
3117.74,11
3116.77,-1
3115.81,-9
3114.84,-15
3113.88,-15
3112.92,-9
3111.95,8
3110.99,34
3110.02,48
3109.06,37
3108.09,19
3107.13,-2
3106.17,-21
3105.20,-22
3104.24,-15
3103.27,-15
3102.31,-2
3101.34,18
3100.38,28
3099.42,35
3098.45,28
3097.49,13
3096.52,8
3095.56,8
3094.60,7
3093.63,-0
3092.67,-13
3091.70,-21
