Created As Omnic File, PLAS 244
Raman Shift / cm-1,INT
3418.58,-105
3417.61,-86
3416.65,-59
3415.68,-37
3414.72,-21
3413.76,-12
3412.79,-22
3411.83,-56
3410.86,-99
3409.90,-117
3408.94,-79
3407.97,-19
3407.01,11
3406.04,0
3405.08,-9
3404.11,22
3403.15,72
3402.19,94
3401.22,61
3400.26,4
3399.29,-21
3398.33,-37
3397.36,-41
3396.40,-19
3395.44,-14
3394.47,-23
3393.51,-16
3392.54,13
3391.58,59
3390.61,111
3389.65,127
3388.69,74
3387.72,15
3386.76,-4
3385.79,18
3384.83,39
3383.87,17
3382.90,0
3381.94,12
3380.97,16
3380.01,-13
3379.04,-62
3378.08,-76
3377.12,-45
3376.15,16
3375.19,69
3374.22,95
3373.26,98
3372.29,70
3371.33,29
3370.37,-12
3369.40,-48
3368.44,-57
3367.47,-50
3366.51,-61
3365.54,-89
3364.58,-70
3363.62,-40
3362.65,-28
3361.69,-33
3360.72,-58
3359.76,-82
3358.80,-72
3357.83,-35
3356.87,14
3355.90,41
3354.94,17
3353.97,-33
3353.01,-102
3352.05,-132
3351.08,-95
3350.12,-38
3349.15,2
3348.19,16
3347.22,16
3346.26,25
3345.30,50
3344.33,79
3343.37,67
3342.40,41
3341.44,29
3340.47,14
3339.51,33
3338.55,56
3337.58,45
3336.62,23
3335.65,0
3334.69,-14
3333.73,-6
3332.76,14
3331.80,49
3330.83,67
3329.87,27
3328.90,-54
3327.94,-108
3326.98,-89
3326.01,-31
3325.05,39
3324.08,83
3323.12,60
3322.15,11
3321.19,29
3320.23,78
3319.26,93
3318.30,86
3317.33,83
3316.37,72
3315.40,58
3314.44,59
3313.48,41
3312.51,22
3311.55,41
3310.58,56
3309.62,91
3308.66,125
3307.69,108
3306.73,82
3305.76,66
3304.80,42
3303.83,19
3302.87,25
3301.91,50
3300.94,73
3299.98,110
3299.01,116
3298.05,117
3297.08,134
3296.12,126
3295.16,111
3294.19,147
3293.23,191
3292.26,225
3291.30,223
3290.33,141
3289.37,54
3288.41,41
3287.44,53
3286.48,43
3285.51,29
3284.55,57
3283.59,108
3282.62,122
3281.66,109
3280.69,110
3279.73,119
3278.76,126
3277.80,97
3276.84,29
3275.87,-22
3274.91,-20
3273.94,13
3272.98,38
3272.01,25
3271.05,0
3270.09,25
3269.12,63
3268.16,30
3267.19,-30
3266.23,-38
3265.26,-11
3264.30,-2
3263.34,-5
3262.37,14
3261.41,47
3260.44,80
3259.48,91
3258.51,52
3257.55,25
3256.59,36
3255.62,31
3254.66,25
3253.69,6
3252.73,-21
3251.77,-22
3250.80,-16
3249.84,-37
3248.87,-62
3247.91,-51
3246.94,-15
3245.98,12
3245.02,17
3244.05,16
3243.09,13
3242.12,-1
3241.16,-39
3240.19,-79
3239.23,-63
3238.27,8
3237.30,65
3236.34,66
3235.37,38
3234.41,15
3233.44,10
3232.48,23
3231.52,37
3230.55,37
3229.59,26
3228.62,2
3227.66,-16
3226.70,-29
3225.73,-71
3224.77,-81
3223.80,-49
3222.84,-40
3221.87,-54
3220.91,-61
3219.95,-43
3218.98,-18
3218.02,-9
3217.05,-22
3216.09,-32
3215.12,-14
3214.16,14
3213.20,32
3212.23,34
3211.27,0
3210.30,-47
3209.34,-59
3208.37,-50
3207.41,-50
3206.45,-55
3205.48,-48
3204.52,-48
3203.55,-53
3202.59,-37
3201.63,-13
3200.66,-1
3199.70,-21
3198.73,-50
3197.77,-69
3196.80,-78
3195.84,-60
3194.88,-37
3193.91,-34
3192.95,-22
3191.98,-7
3191.02,-21
3190.05,-36
3189.09,-34
3188.13,-23
3187.16,-4
3186.20,17
3185.23,24
3184.27,12
3183.30,7
3182.34,-1
3181.38,-22
3180.41,-16
3179.45,13
3178.48,21
3177.52,11
3176.56,22
3175.59,32
3174.63,-2
3173.66,-55
3172.70,-82
3171.73,-44
3170.77,44
3169.81,107
3168.84,108
3167.88,61
3166.91,24
3165.95,-1
3164.98,-64
3164.02,-128
3163.06,-149
3162.09,-112
3161.13,-37
