Created As Omnic File,PLAS 240 532 nm 4 mW
Raman Shift / cm-1,INT
3418.58,-10
3417.61,-7
3416.65,-7
3415.68,-6
3414.72,-6
3413.76,-4
3412.79,-3
3411.83,-6
3410.86,-7
3409.90,-6
3408.94,-1
3407.97,1
3407.01,-3
3406.04,0
3405.08,3
3404.11,3
3403.15,1
3402.19,1
3401.22,1
3400.26,-2
3399.29,-3
3398.33,-1
3397.36,-0
3396.40,-2
3395.44,-3
3394.47,-2
3393.51,-2
3392.54,-2
3391.58,-1
3390.61,-1
3389.65,-1
3388.69,-6
3387.72,-6
3386.76,-5
3385.79,-7
3384.83,-8
3383.87,-9
3382.90,-8
3381.94,-6
3380.97,-6
3380.01,-8
3379.04,-10
3378.08,-10
3377.12,-9
3376.15,-7
3375.19,-3
3374.22,-1
3373.26,-2
3372.29,-5
3371.33,-7
3370.37,-7
3369.40,-7
3368.44,-7
3367.47,-8
3366.51,-8
3365.54,-5
3364.58,-6
3363.62,-9
3362.65,-8
3361.69,-6
3360.72,-5
3359.76,-5
3358.80,-5
3357.83,-3
3356.87,-1
3355.90,-1
3354.94,-6
3353.97,-8
3353.01,-7
3352.05,-7
3351.08,-6
3350.12,-6
3349.15,-6
3348.19,-6
3347.22,-4
3346.26,-3
3345.30,-2
3344.33,-3
3343.37,-5
3342.40,-6
3341.44,-6
3340.47,-3
3339.51,-1
3338.55,-1
3337.58,-2
3336.62,-4
3335.65,-5
3334.69,-5
3333.73,-5
3332.76,-4
3331.80,-3
3330.83,-2
3329.87,-1
3328.90,-2
3327.94,-5
3326.98,-6
3326.01,-3
3325.05,-0
3324.08,1
3323.12,1
3322.15,-1
3321.19,0
3320.23,-1
3319.26,2
3318.30,6
3317.33,6
3316.37,3
3315.40,3
3314.44,3
3313.48,1
3312.51,-0
3311.55,2
3310.58,4
3309.62,4
3308.66,4
3307.69,4
3306.73,3
3305.76,3
3304.80,3
3303.83,2
3302.87,1
3301.91,0
3300.94,-1
3299.98,-4
3299.01,-2
3298.05,0
3297.08,1
3296.12,1
3295.16,-1
3294.19,-2
3293.23,-0
3292.26,1
3291.30,1
3290.33,-1
3289.37,-1
3288.41,-2
3287.44,-4
3286.48,-4
3285.51,-3
3284.55,-1
3283.59,1
3282.62,0
3281.66,-2
3280.69,-3
3279.73,-3
3278.76,2
3277.80,4
3276.84,-1
3275.87,-3
3274.91,-2
3273.94,-0
3272.98,0
3272.01,-1
3271.05,-1
3270.09,-1
3269.12,1
3268.16,0
3267.19,0
3266.23,-1
3265.26,-1
3264.30,-1
3263.34,-2
3262.37,-1
3261.41,-0
3260.44,2
3259.48,3
3258.51,3
3257.55,1
3256.59,-1
3255.62,-1
3254.66,2
3253.69,2
3252.73,-1
3251.77,-2
3250.80,-3
3249.84,-4
3248.87,-4
3247.91,-2
