Created As Omnic File,BIOL 014
Raman Shift / cm-1,INT
3699.66,0
3698.36,-0
3697.06,0
3695.77,-0
3694.47,-0
3693.18,0
3691.88,-0
3690.58,-1
3689.29,-0
3687.99,-0
3686.69,-1
3685.40,-0
3684.10,-0
3682.80,-0
3681.51,-0
3680.21,0
3678.91,-0
3677.62,0
3676.32,-0
3675.02,0
3673.73,-0
3672.43,0
3671.14,-0
3669.84,1
3668.54,-0
3667.25,0
3665.95,0
3664.65,0
3663.36,0
3662.06,-0
3660.76,0
3659.47,0
3658.17,0
3656.87,-1
3655.58,0
3654.28,0
3652.98,0
3651.69,0
3650.39,1
3649.10,0
3647.80,0
3646.50,0
3645.21,0
3643.91,-0
3642.61,-0
3641.32,1
3640.02,-0
3638.72,0
3637.43,-0
3636.13,0
3634.83,-1
3633.54,0
3632.24,1
3630.94,0
3629.65,1
3628.35,0
3627.06,-0
3625.76,1
3624.46,1
3623.17,1
3621.87,1
3620.57,0
3619.28,1
3617.98,1
3616.68,1
3615.39,1
3614.09,1
3612.79,1
3611.50,1
3610.20,1
3608.90,1
3607.61,1
3606.31,0
3605.02,0
3603.72,1
3602.42,1
3601.13,1
3599.83,0
3598.53,0
3597.24,1
3595.94,1
3594.64,0
3593.35,0
3592.05,1
3590.75,1
3589.46,1
3588.16,0
3586.87,1
3585.57,1
3584.27,1
3582.98,1
3581.68,3
3580.38,7
3579.09,8
3577.79,7
3576.49,7
3575.20,5
3573.90,2
3572.60,2
3571.31,1
3570.01,1
3568.71,1
3567.42,1
3566.12,1
3564.83,2
3563.53,1
3562.23,1
3560.94,0
3559.64,0
3558.34,1
3557.05,0
3555.75,1
3554.45,1
3553.16,-0
3551.86,1
3550.56,1
3549.27,1
3547.97,1
3546.67,0
3545.38,1
3544.08,1
3542.79,1
3541.49,1
3540.19,0
3538.90,2
3537.60,1
3536.30,1
3535.01,0
3533.71,1
3532.41,1
3531.12,2
3529.82,1
3528.52,1
3527.23,2
3525.93,0
3524.63,1
3523.34,1
3522.04,2
3520.75,1
3519.45,1
3518.15,1
3516.86,1
3515.56,1
3514.26,1
3512.97,1
3511.67,1
3510.37,1
3509.08,1
3507.78,1
3506.48,2
3505.19,1
3503.89,1
3502.59,1
3501.30,1
3500.00,1
3498.71,2
3497.41,1
3496.11,1
3494.82,0
3493.52,0
3492.22,1
3490.93,1
3489.63,1
3488.33,1
3487.04,1
3485.74,1
3484.44,-0
3483.15,0
3481.85,-0
3480.55,0
3479.26,1
3477.96,0
3476.67,0
3475.37,1
3474.07,-1
3472.78,0
3471.48,-0
