Created As Omnic File,PLAS 198
Raman Shift / cm-1,INT
3699.66,1
3698.36,0
3697.06,0
3695.77,1
3694.47,1
3693.18,-0
3691.88,0
3690.58,0
3689.29,0
3687.99,1
3686.69,-0
3685.40,-0
3684.10,-1
3682.80,-0
3681.51,-0
3680.21,-0
3678.91,1
3677.62,-0
3676.32,0
3675.02,0
3673.73,-0
3672.43,1
3671.14,1
3669.84,0
3668.54,0
3667.25,0
3665.95,-0
3664.65,0
3663.36,-0
3662.06,1
3660.76,0
3659.47,1
3658.17,0
3656.87,2
3655.58,1
3654.28,-0
3652.98,0
3651.69,1
3650.39,1
3649.10,1
3647.80,0
3646.50,0
3645.21,0
3643.91,0
3642.61,0
3641.32,0
3640.02,-1
3638.72,-0
3637.43,-0
3636.13,-0
3634.83,-0
3633.54,0
3632.24,-1
3630.94,0
3629.65,-1
3628.35,0
3627.06,0
3625.76,1
3624.46,0
3623.17,1
3621.87,-1
3620.57,1
3619.28,1
3617.98,2
3616.68,1
3615.39,1
3614.09,-0
3612.79,0
3611.50,1
3610.20,0
3608.90,0
3607.61,-0
3606.31,1
3605.02,0
3603.72,0
3602.42,-1
3601.13,-0
3599.83,-0
3598.53,0
3597.24,1
3595.94,-1
3594.64,0
3593.35,-0
3592.05,-0
3590.75,-0
3589.46,-1
3588.16,1
3586.87,-0
3585.57,1
3584.27,1
3582.98,2
3581.68,3
3580.38,5
3579.09,7
3577.79,6
3576.49,6
3575.20,5
3573.90,4
3572.60,2
3571.31,2
3570.01,1
3568.71,1
3567.42,1
3566.12,1
3564.83,1
3563.53,0
3562.23,0
3560.94,0
3559.64,-0
3558.34,1
3557.05,0
3555.75,1
3554.45,1
3553.16,0
3551.86,0
3550.56,0
3549.27,1
3547.97,1
3546.67,1
3545.38,1
3544.08,0
3542.79,1
3541.49,1
3540.19,1
3538.90,1
3537.60,1
3536.30,2
3535.01,1
3533.71,2
3532.41,1
3531.12,1
3529.82,1
3528.52,1
3527.23,2
3525.93,1
3524.63,2
3523.34,2
3522.04,1
3520.75,1
3519.45,1
3518.15,2
3516.86,2
3515.56,2
3514.26,2
3512.97,2
3511.67,2
3510.37,2
3509.08,2
3507.78,2
3506.48,1
3505.19,2
3503.89,2
3502.59,2
3501.30,2
3500.00,3
3498.71,2
3497.41,2
3496.11,2
3494.82,2
3493.52,2
3492.22,3
3490.93,2
3489.63,2
3488.33,2
3487.04,2
3485.74,2
3484.44,1
3483.15,1
3481.85,1
3480.55,3
3479.26,2
3477.96,2
3476.67,1
3475.37,3
3474.07,1
3472.78,1
3471.48,2
3470.18,1
3468.89,2
3467.59,2
3466.29,1
3465.00,2
3463.70,1
3462.40,2
3461.11,2
3459.81,1
3458.51,2
3457.22,2
3455.92,2
3454.63,2
3453.33,2
3452.03,2
3450.74,2
3449.44,2
3448.14,2
3446.85,2
3445.55,2
3444.25,3
3442.96,2
3441.66,3
3440.36,3
3439.07,3
3437.77,2
3436.47,3
3435.18,3
3433.88,2
3432.59,3
3431.29,2
3429.99,2
3428.70,2
3427.40,2
3426.10,2
3424.81,2
3423.51,2
3422.21,2
3420.92,5
3419.62,10
3418.32,6
3417.03,3
3415.73,2
3414.43,2
3413.14,3
3411.84,2
3410.55,3
3409.25,2
3407.95,3
3406.66,2
3405.36,2
3404.06,2
3402.77,3
3401.47,3
3400.17,3
3398.88,2
3397.58,4
3396.28,2
3394.99,3
3393.69,2
3392.39,3
3391.10,3
3389.80,2
3388.51,3
3387.21,2
3385.91,3
3384.62,3
3383.32,2
3382.02,3
3380.73,2
3379.43,3
3378.13,2
3376.84,3
3375.54,2
3374.24,2
3372.95,3
3371.65,3
3370.35,2
3369.06,3
3367.76,2
3366.47,3
3365.17,2
3363.87,3
3362.58,2
3361.28,2
3359.98,2
3358.69,3
3357.39,2
3356.09,2
3354.80,2
3353.50,3
3352.20,2
3350.91,2
3349.61,3
3348.31,2
3347.02,2
3345.72,2
3344.43,1
3343.13,2
3341.83,2
3340.54,2
3339.24,2
3337.94,2
3336.65,2
3335.35,2
3334.05,2
3332.76,2
3331.46,2
3330.16,3
3328.87,3
3327.57,2
3326.27,2
3324.98,2
3323.68,2
3322.39,2
3321.09,2
3319.79,2
3318.50,1
3317.20,2
3315.90,2
3314.61,2
3313.31,1
3312.01,1
3310.72,1
3309.42,1
3308.12,1
3306.83,2
3305.53,2
3304.24,0
3302.94,1
3301.64,1
3300.35,1
3299.05,1
3297.75,1
3296.46,0
3295.16,1
3293.86,0
3292.57,-0
3291.27,0
3289.97,-0
3288.68,0
3287.38,-0
3286.08,1
3284.79,-1
3283.49,1
3282.20,0
3280.90,-1
3279.60,-1
3278.31,0
3277.01,-0
3275.71,-2
3274.42,-1
3273.12,-1
3271.82,-1
3270.53,-0
3269.23,-1
3267.93,-1
3266.64,-1
3265.34,-0
3264.04,-1
3262.75,-1
3261.45,-1
3260.16,-1
3258.86,-2
3257.56,-0
3256.27,-2
3254.97,-1
3253.67,-2
3252.38,-2
3251.08,-1
3249.78,-2
3248.49,-1
3247.19,-2
3245.89,-1
3244.60,-1
3243.30,-2
3242.00,-2
3240.71,-1
3239.41,-3
3238.12,-3
3236.82,-3
3235.52,-1
3234.23,-3
3232.93,-2
3231.63,-2
3230.34,-2
3229.04,-1
3227.74,-2
3226.45,-3
3225.15,-3
3223.85,-2
3222.56,-2
3221.26,-2
3219.96,-3
3218.67,-2
3217.37,-3
3216.08,-3
3214.78,-3
3213.48,-3
3212.19,-3
3210.89,-2
3209.59,-2
3208.30,-2
3207.00,-3
3205.70,-3
3204.41,-2
3203.11,-3
3201.81,-2
3200.52,-3
3199.22,-3
3197.92,-3
3196.63,-3
3195.33,-2
3194.04,-2
3192.74,-3
3191.44,-3
3190.15,-3
3188.85,-3
3187.55,-4
3186.26,-3
3184.96,-3
3183.66,-3
3182.37,-4
3181.07,-4
3179.77,-4
3178.48,-3
3177.18,-3
3175.88,-3
3174.59,-4
3173.29,-3
3172.00,-4
3170.70,-3
3169.40,-3
3168.11,-3
3166.81,-3
3165.51,-4
3164.22,-3
3162.92,-3
3161.62,-3
3160.33,-3
3159.03,-3
3157.73,-4
3156.44,-4
3155.14,-3
3153.84,-3
3152.55,-3
3151.25,-3
3149.96,-4
3148.66,-5
3147.36,-4
3146.07,-3
3144.77,-4
3143.47,-3
3142.18,-4
3140.88,-4
3139.58,-3
3138.29,-3
3136.99,-3
3135.69,-3
3134.40,-3
3133.10,-2
3131.80,-2
3130.51,-3
3129.21,-4
3127.92,-2
3126.62,-3
3125.32,-3
3124.03,-2
3122.73,-2
3121.43,-3
3120.14,-1
3118.84,-2
3117.54,-3
3116.25,-2
3114.95,-2
3113.65,-3
3112.36,-4
3111.06,-1
3109.76,-3
3108.47,-2
3107.17,-2
3105.88,-1
3104.58,-2
3103.28,-1
3101.99,-1
3100.69,0
3099.39,-0
3098.10,-0
3096.80,-0
3095.50,-1
3094.21,0
3092.91,-0
3091.61,-0
3090.32,-0
3089.02,1
3087.72,0
3086.43,1
3085.13,0
3083.84,1
3082.54,1
3081.24,1
3079.95,1
3078.65,1
3077.35,1
3076.06,2
3074.76,1
3073.46,3
3072.17,4
3070.87,3
3069.57,4
3068.28,4
3066.98,3
3065.68,4
3064.39,5
3063.09,6
3061.80,5
3060.50,5
3059.20,5
3057.91,7
3056.61,3
3055.31,5
3054.02,4
3052.72,2
3051.42,3
3050.13,3
3048.83,3
3047.53,2
3046.24,2
3044.94,1
3043.65,2
3042.35,2
3041.05,1
3039.76,1
3038.46,1
3037.16,-0
3035.87,1
3034.57,-1
3033.27,0
3031.98,1
3030.68,-0
3029.38,0
3028.09,-2
3026.79,-1
3025.49,-0
3024.20,-1
3022.90,-2
3021.61,-0
3020.31,-0
3019.01,-0
3017.72,-1
3016.42,-2
3015.12,1
3013.83,-1
3012.53,-2
3011.23,-3
3009.94,0
3008.64,-0
3007.34,-1
3006.05,1
3004.75,1
3003.45,-1
3002.16,-0
3000.86,-1
2999.57,-1
2998.27,-1
2996.97,-1
2995.68,-0
2994.38,-1
2993.08,-1
2991.79,-2
2990.49,-1
2989.19,-0
2987.90,-0
2986.60,0
2985.30,0
2984.01,-0
2982.71,-2
2981.41,-1
2980.12,1
2978.82,0
2977.53,0
2976.23,0
2974.93,-0
2973.64,0
2972.34,-1
2971.04,-1
2969.75,1
2968.45,-0
2967.15,1
2965.86,0
2964.56,0
2963.26,-1
2961.97,-1
2960.67,-1
2959.37,2
2958.08,-1
2956.78,-1
2955.49,-0
2954.19,0
2952.89,-2
2951.60,-1
2950.30,0
2949.00,-1
2947.71,-0
2946.41,-1
2945.11,-1
2943.82,-1
2942.52,-2
2941.22,-1
2939.93,-0
2938.63,-1
2937.33,-1
2936.04,-1
2934.74,0
2933.45,-1
2932.15,0
2930.85,-0
2929.56,-2
2928.26,-1
2926.96,-2
2925.67,1
2924.37,-0
2923.07,-1
2921.78,-2
2920.48,-1
2919.18,-2
2917.89,-2
2916.59,-2
2915.29,-1
2914.00,-2
2912.70,-0
2911.41,0
2910.11,-2
2908.81,0
2907.52,-0
2906.22,-0
2904.92,-2
2903.63,0
2902.33,-1
2901.03,-1
2899.74,-2
2898.44,0
2897.14,-2
2895.85,-0
2894.55,-2
2893.25,0
2891.96,-2
2890.66,-1
2889.37,0
2888.07,-0
2886.77,-2
2885.48,-1
2884.18,-3
2882.88,-3
2881.59,-2
2880.29,-2
2878.99,-1
2877.70,-1
2876.40,-1
2875.10,-2
2873.81,3
2872.51,0
2871.21,1
2869.92,1
2868.62,0
2867.33,2
2866.03,0
2864.73,1
2863.44,0
2862.14,-0
2860.84,-2
2859.55,-2
2858.25,-1
2856.95,-3
2855.66,-3
2854.36,-1
2853.06,-3
2851.77,-1
2850.47,-5
2849.17,-2
2847.88,-2
2846.58,-3
2845.29,-2
2843.99,-3
2842.69,-3
2841.40,-2
2840.10,-3
2838.80,-4
2837.51,-2
2836.21,-3
2834.91,-2
2833.62,-4
2832.32,-4
2831.02,-4
2829.73,-3
2828.43,-3
2827.13,-4
2825.84,1
2824.54,-2
2823.25,-3
2821.95,0
2820.65,-2
2819.36,-5
2818.06,-5
2816.76,-4
2815.47,-4
2814.17,-2
2812.87,-4
2811.58,-3
2810.28,-5
2808.98,-2
2807.69,-2
2806.39,-3
2805.09,-2
2803.80,-4
2802.50,-2
2801.21,-3
2799.91,-2
2798.61,-2
2797.32,-4
2796.02,-5
2794.72,-3
2793.43,-2
2792.13,-1
2790.83,-2
2789.54,-2
2788.24,-2
2786.94,-4
2785.65,-1
2784.35,-2
2783.06,-3
2781.76,-3
2780.46,-3
2779.17,-3
2777.87,-4
2776.57,-6
2775.28,0
2773.98,-4
2772.68,-3
2771.39,-4
2770.09,0
2768.79,-1
2767.50,-3
2766.20,-2
2764.90,-4
2763.61,-3
2762.31,-1
2761.02,-4
2759.72,-2
2758.42,-3
2757.13,-3
2755.83,-2
2754.53,-2
2753.24,-2
2751.94,-2
2750.64,-5
2749.35,-3
2748.05,-2
2746.75,-3
2745.46,-2
2744.16,-4
2742.86,-4
2741.57,-2
2740.27,-4
2738.98,-4
2737.68,-1
2736.38,-2
2735.09,-7
2733.79,-6
2732.49,-2
2731.20,-4
2729.90,-4
2728.60,-4
2727.31,-4
2726.01,-4
2724.71,-3
2723.42,-2
2722.12,-9
2720.82,-7
2719.53,-2
