Created As Omnic File,BIOL 014
Raman Shift / cm-1,INT
3418.58,24
3417.61,26
3416.65,19
3415.68,10
3414.72,9
3413.76,13
3412.79,16
3411.83,14
3410.86,6
3409.90,1
3408.94,7
3407.97,11
3407.01,7
3406.04,6
3405.08,11
3404.11,21
3403.15,30
3402.19,30
3401.22,21
3400.26,15
3399.29,15
3398.33,5
3397.36,-1
3396.40,6
3395.44,12
3394.47,17
3393.51,15
3392.54,10
3391.58,15
3390.61,28
3389.65,27
3388.69,11
3387.72,10
3386.76,14
3385.79,9
3384.83,5
3383.87,0
3382.90,2
3381.94,14
3380.97,15
3380.01,-2
3379.04,-17
3378.08,-18
3377.12,-9
3376.15,8
3375.19,21
3374.22,28
3373.26,28
3372.29,20
3371.33,11
3370.37,1
3369.40,-8
3368.44,-11
3367.47,-8
3366.51,-5
3365.54,1
3364.58,1
3363.62,-4
3362.65,-8
3361.69,-12
3360.72,-18
3359.76,-19
3358.80,-10
3357.83,1
3356.87,0
3355.90,-3
3354.94,-4
3353.97,-8
3353.01,-14
3352.05,-20
3351.08,-18
3350.12,-13
3349.15,-9
3348.19,-4
3347.22,3
3346.26,1
3345.30,-1
3344.33,5
3343.37,1
3342.40,-8
3341.44,-10
3340.47,-2
3339.51,8
3338.55,10
3337.58,1
3336.62,-11
3335.65,-11
3334.69,1
3333.73,0
3332.76,-7
3331.80,-7
3330.83,-10
3329.87,-20
3328.90,-34
3327.94,-37
3326.98,-28
3326.01,-23
3325.05,-16
3324.08,-9
3323.12,-12
3322.15,-15
3321.19,-9
3320.23,-1
3319.26,-4
3318.30,-12
3317.33,-16
3316.37,-18
3315.40,-12
3314.44,0
3313.48,-3
3312.51,-9
3311.55,-8
3310.58,-11
3309.62,-13
3308.66,-7
3307.69,2
3306.73,7
3305.76,8
3304.80,2
3303.83,-7
3302.87,-7
3301.91,0
3300.94,-4
3299.98,-5
3299.01,4
3298.05,12
3297.08,11
3296.12,3
3295.16,2
3294.19,13
3293.23,21
3292.26,27
3291.30,25
3290.33,6
3289.37,-14
3288.41,-14
3287.44,-7
3286.48,-17
3285.51,-31
3284.55,-22
3283.59,-1
3282.62,8
3281.66,7
3280.69,3
3279.73,-0
3278.76,0
3277.80,-5
3276.84,-17
3275.87,-25
3274.91,-23
3273.94,-17
3272.98,-14
3272.01,-15
3271.05,-12
3270.09,1
3269.12,15
3268.16,-2
3267.19,-31
3266.23,-34
3265.26,-22
3264.30,-8
3263.34,3
3262.37,7
3261.41,9
3260.44,10
3259.48,7
3258.51,-3
3257.55,-6
3256.59,5
3255.62,5
3254.66,0
3253.69,-6
3252.73,-11
3251.77,-9
3250.80,-4
3249.84,-8
3248.87,-14
3247.91,-8
3246.94,3
3245.98,9
3245.02,9
3244.05,6
3243.09,4
3242.12,4
3241.16,-3
3240.19,-15
3239.23,-12
3238.27,6
3237.30,17
3236.34,11
3235.37,4
3234.41,4
3233.44,2
3232.48,4
3231.52,7
3230.55,11
3229.59,15
3228.62,15
3227.66,6
3226.70,-7
3225.73,-19
3224.77,-20
3223.80,-7
3222.84,0
3221.87,-0
3220.91,-2
3219.95,-3
3218.98,0
3218.02,2
3217.05,-2
3216.09,-6
3215.12,1
3214.16,15
3213.20,11
3212.23,-6
3211.27,-6
3210.30,-3
3209.34,-7
3208.37,-10
3207.41,-7
3206.45,-5
3205.48,-10
3204.52,-15
3203.55,-8
3202.59,3
3201.63,12
3200.66,13
3199.70,2
3198.73,-6
3197.77,-7
3196.80,-8
3195.84,-6
3194.88,5
3193.91,14
3192.95,11
3191.98,-2
3191.02,-12
3190.05,-17
3189.09,-11
3188.13,-2
3187.16,-0
3186.20,3
3185.23,11
3184.27,14
3183.30,12
3182.34,8
3181.38,5
3180.41,3
3179.45,-3
3178.48,-8
3177.52,-8
3176.56,5
3175.59,21
3174.63,15
3173.66,-6
3172.70,-23
3171.73,-23
3170.77,-4
3169.81,15
3168.84,20
3167.88,15
3166.91,4
3165.95,-5
3164.98,-18
3164.02,-27
3163.06,-19
3162.09,-3
3161.13,2
3160.16,-0
3159.20,-4
3158.23,-14
3157.27,-15
3156.31,-6
3155.34,6
3154.38,17
3153.41,11
3152.45,-6
3151.49,-17
3150.52,-17
3149.56,-13
3148.59,-8
3147.63,-3
3146.66,1
3145.70,8
3144.74,9
3143.77,3
3142.81,7
3141.84,13
3140.88,15
3139.91,12
3138.95,8
3137.99,6
3137.02,2
3136.06,-4
3135.09,-8
3134.13,-9
3133.16,-6
3132.20,1
3131.24,3
3130.27,-2
3129.31,-7
3128.34,-5
3127.38,1
3126.42,-7
3125.45,-19
3124.49,-6
3123.52,20
3122.56,25
3121.59,13
3120.63,-5
3119.67,-14
3118.70,-16
3117.74,-17
3116.77,-15
3115.81,-12
3114.84,-19
3113.88,-27
3112.92,-28
3111.95,-19
3110.99,6
3110.02,18
3109.06,0
3108.09,-17
3107.13,-27
3106.17,-36
3105.20,-35
3104.24,-29
3103.27,-25
3102.31,-17
3101.34,-9
3100.38,-8
3099.42,-7
3098.45,-10
3097.49,-14
3096.52,-15
3095.56,-16
3094.60,-17
3093.63,-19
3092.67,-22
3091.70,-20
3090.74,-24
3089.77,-28
3088.81,-17
3087.85,-9
3086.88,-13
3085.92,-21
3084.95,-25
3083.99,-20
3083.02,-9
3082.06,-7
3081.10,-22
3080.13,-31
3079.17,-18
3078.20,-9
3077.24,-16
3076.27,-21
3075.31,-27
3074.35,-22
3073.38,-8
3072.42,-14
3071.45,-28
3070.49,-31
3069.53,-26
3068.56,-15
3067.60,-0
3066.63,2
3065.67,-5
3064.70,-9
3063.74,-17
3062.78,-24
3061.81,-27
3060.85,-23
3059.88,-11
3058.92,0
3057.95,7
3056.99,6
3056.03,-7
3055.06,-14
3054.10,-11
3053.13,-6
3052.17,-2
3051.20,-8
3050.24,-19
3049.28,-19
3048.31,-19
3047.35,-27
3046.38,-28
3045.42,-24
3044.46,-27
3043.49,-35
3042.53,-37
3041.56,-26
3040.60,-11
3039.63,-2
3038.67,2
3037.71,7
3036.74,12
3035.78,13
3034.81,-1
3033.85,-24
3032.88,-31
3031.92,-14
3030.96,2
3029.99,-0
3029.03,-4
3028.06,-2
3027.10,7
3026.13,15
3025.17,5
3024.21,-17
3023.24,-18
3022.28,-5
3021.31,-7
3020.35,-23
3019.39,-28
3018.42,-16
3017.46,-6
3016.49,2
3015.53,17
3014.56,28
3013.60,33
3012.64,32
3011.67,14
3010.71,-8
3009.74,-15
3008.78,-15
3007.81,-8
3006.85,-0
3005.89,-1
3004.92,2
3003.96,7
3002.99,5
