Created As Omnic File,PLAS 72
Raman Shift / cm-1,INT
3418.58,-33
3417.61,-26
3416.65,-26
3415.68,-29
3414.72,-23
3413.76,-17
3412.79,-22
3411.83,-29
3410.86,-31
3409.90,-30
3408.94,-26
3407.97,-19
3407.01,-15
3406.04,-18
3405.08,-21
3404.11,-13
3403.15,-1
3402.19,0
3401.22,-7
3400.26,-12
3399.29,-13
3398.33,-19
3397.36,-20
3396.40,-13
3395.44,-9
3394.47,-7
3393.51,-5
3392.54,-3
3391.58,-3
3390.61,-5
3389.65,-6
3388.69,-11
3387.72,-12
3386.76,-8
3385.79,-4
3384.83,-1
3383.87,-3
3382.90,-5
3381.94,-5
3380.97,-5
3380.01,-5
3379.04,-10
3378.08,-15
3377.12,-15
3376.15,-11
3375.19,-1
3374.22,7
3373.26,9
3372.29,4
3371.33,-6
3370.37,-14
3369.40,-17
3368.44,-12
3367.47,-4
3366.51,-6
3365.54,-19
3364.58,-17
3363.62,-10
3362.65,-7
3361.69,-6
3360.72,-6
3359.76,-7
3358.80,-8
3357.83,-8
3356.87,-7
3355.90,-8
3354.94,-11
3353.97,-15
3353.01,-17
3352.05,-16
3351.08,-9
3350.12,-4
3349.15,-3
3348.19,-1
3347.22,4
3346.26,6
3345.30,6
3344.33,1
3343.37,-5
3342.40,-2
3341.44,0
3340.47,-3
3339.51,-5
3338.55,-4
3337.58,-4
3336.62,-2
3335.65,-1
3334.69,0
3333.73,3
3332.76,6
3331.80,4
3330.83,-0
3329.87,-3
3328.90,-8
3327.94,-16
3326.98,-17
3326.01,-15
3325.05,-10
3324.08,-4
3323.12,-5
3322.15,-10
3321.19,-10
3320.23,-6
3319.26,-2
3318.30,3
3317.33,6
3316.37,5
3315.40,0
3314.44,-6
3313.48,-10
3312.51,-13
3311.55,-14
3310.58,-12
3309.62,-4
3308.66,3
3307.69,3
3306.73,1
3305.76,-1
3304.80,-3
3303.83,-5
3302.87,-6
3301.91,-6
3300.94,-6
3299.98,-2
3299.01,4
3298.05,9
3297.08,8
3296.12,2
3295.16,-4
3294.19,-0
3293.23,11
3292.26,19
3291.30,15
3290.33,4
3289.37,-6
3288.41,-6
3287.44,-1
3286.48,-5
3285.51,-11
3284.55,-7
3283.59,1
3282.62,2
3281.66,-2
3280.69,-2
3279.73,1
3278.76,6
3277.80,6
3276.84,0
3275.87,-6
3274.91,-8
3273.94,-7
3272.98,-6
3272.01,-8
3271.05,-10
3270.09,-10
3269.12,-11
3268.16,-13
3267.19,-15
3266.23,-8
3265.26,1
3264.30,-0
3263.34,-6
3262.37,-11
3261.41,-11
3260.44,-6
3259.48,-1
3258.51,-1
