# wavenumber, intensity
2.009300000000000068e+02,1.543261205873140696e-01
2.019000000000000057e+02,1.337418630499151717e-01
2.028600000000000136e+02,1.119433382393362486e-01
2.038199999999999932e+02,1.032997880820825248e-01
2.047899999999999920e+02,1.158823213088520931e-01
2.057500000000000000e+02,1.456042434840433553e-01
2.067199999999999989e+02,1.775155674805034001e-01
2.076800000000000068e+02,1.949640324819557624e-01
2.086500000000000057e+02,1.903574339597348397e-01
2.096100000000000136e+02,1.670378812984174843e-01
2.105699999999999932e+02,1.388393024494302408e-01
2.115399999999999920e+02,1.216863400241258025e-01
2.125000000000000000e+02,1.211110641362192625e-01
2.134699999999999989e+02,1.348470235221393421e-01
2.144300000000000068e+02,1.536179443919237775e-01
2.154000000000000057e+02,1.666602192651332193e-01
2.163600000000000136e+02,1.690321843504801191e-01
2.173199999999999932e+02,1.628083859016013490e-01
2.182899999999999920e+02,1.548602369026696735e-01
2.192500000000000000e+02,1.521166779266495128e-01
2.202199999999999989e+02,1.556082552449064849e-01
2.211800000000000068e+02,1.610108583423509043e-01
2.221399999999999864e+02,1.661390775967994948e-01
2.231100000000000136e+02,1.717356217257095252e-01
2.240699999999999932e+02,1.788795022973163062e-01
2.250399999999999920e+02,1.835110520638106868e-01
2.260000000000000000e+02,1.811218806004186721e-01
2.269699999999999989e+02,1.721887363216666744e-01
2.279300000000000068e+02,1.626318508581376943e-01
2.288899999999999864e+02,1.595879188230892587e-01
2.298600000000000136e+02,1.668472537921836252e-01
2.308199999999999932e+02,1.797422963631980231e-01
2.317899999999999920e+02,1.880584462736294704e-01
2.327500000000000000e+02,1.848319908964972391e-01
2.337199999999999989e+02,1.723702216919938413e-01
2.346800000000000068e+02,1.593445543669712861e-01
2.356399999999999864e+02,1.516854405816704388e-01
2.366100000000000136e+02,1.473435248586697222e-01
2.375699999999999932e+02,1.430449644177151369e-01
2.385399999999999920e+02,1.372100061595510345e-01
2.395000000000000000e+02,1.309804988659825919e-01
2.404699999999999989e+02,1.284175070545007236e-01
2.414300000000000068e+02,1.325851632875146013e-01
2.423899999999999864e+02,1.419355322924644447e-01
2.433600000000000136e+02,1.529126026578882802e-01
2.443199999999999932e+02,1.615724010654087384e-01
2.452899999999999920e+02,1.683646088197688073e-01
2.462500000000000000e+02,1.756484159692464075e-01
2.472100000000000080e+02,1.839924314292762375e-01
2.481800000000000068e+02,1.929274121196070668e-01
2.491399999999999864e+02,1.976155313471118224e-01
2.501100000000000136e+02,1.932277452566455722e-01
2.510699999999999932e+02,1.782705721711431435e-01
2.520399999999999920e+02,1.570289591326850254e-01
2.530000000000000000e+02,1.374366832235014435e-01
2.539600000000000080e+02,1.293337965881003748e-01
2.549300000000000068e+02,1.366069844880145323e-01
2.558899999999999864e+02,1.529739228358049374e-01
2.568600000000000136e+02,1.674586590817923604e-01
2.578199999999999932e+02,1.707924247702889420e-01
2.587900000000000205e+02,1.621794149360270831e-01
2.597500000000000000e+02,1.484978293016199491e-01
2.607099999999999795e+02,1.376133779549274239e-01
2.616800000000000068e+02,1.357358866480388448e-01
2.626399999999999864e+02,1.433288097725364529e-01
2.636100000000000136e+02,1.552188561463213878e-01
2.645699999999999932e+02,1.651662984461708394e-01
2.655400000000000205e+02,1.723672275426794687e-01
2.665000000000000000e+02,1.780254910694175352e-01
2.674599999999999795e+02,1.838027221288375257e-01
2.684300000000000068e+02,1.890642409106763344e-01
2.693899999999999864e+02,1.888179621492275528e-01
2.703600000000000136e+02,1.794877936716406386e-01
2.713199999999999932e+02,1.616050173319205918e-01
2.722799999999999727e+02,1.400643087381409357e-01
2.732500000000000000e+02,1.207266952084812134e-01
2.742099999999999795e+02,1.101474075597169977e-01
2.751800000000000068e+02,1.110382268631644881e-01
2.761399999999999864e+02,1.209494599173273621e-01
2.771100000000000136e+02,1.340417570450485041e-01
2.780699999999999932e+02,1.453241907183540349e-01
2.790299999999999727e+02,1.519843365270388547e-01
2.800000000000000000e+02,1.534015672016125764e-01
2.809599999999999795e+02,1.510460898984821720e-01
2.819300000000000068e+02,1.496126508956302781e-01
2.828899999999999864e+02,1.525257984887061213e-01
2.838600000000000136e+02,1.579505982130524067e-01
2.848199999999999932e+02,1.604277976662336347e-01
2.857799999999999727e+02,1.569368191778404420e-01
2.867500000000000000e+02,1.473770992529633006e-01
2.877099999999999795e+02,1.351999738430990083e-01
2.886800000000000068e+02,1.271943371773681108e-01
2.896399999999999864e+02,1.286124062137469770e-01
2.906100000000000136e+02,1.383927350599676587e-01
2.915699999999999932e+02,1.517033256335632296e-01
2.925299999999999727e+02,1.621824490073265068e-01
2.935000000000000000e+02,1.619372880616227472e-01
2.944599999999999795e+02,1.507044774229251427e-01
2.954300000000000068e+02,1.356347642452628288e-01
2.963899999999999864e+02,1.269672608935101810e-01
2.973600000000000136e+02,1.300068015095626195e-01
2.983199999999999932e+02,1.454202829502867778e-01
2.992799999999999727e+02,1.652493761090906010e-01
3.002500000000000000e+02,1.764165150728715659e-01
3.012099999999999795e+02,1.676730800945592514e-01
3.021800000000000068e+02,1.381688126133902295e-01
3.031399999999999864e+02,1.000115334631414832e-01
3.041000000000000227e+02,7.137640764439456831e-02
3.050699999999999932e+02,6.535996401589828919e-02
3.060299999999999727e+02,8.729374453141661161e-02
3.070000000000000000e+02,1.283993026266763982e-01
3.079599999999999795e+02,1.700955864202956525e-01
3.089300000000000068e+02,1.969299909205292354e-01
3.098899999999999864e+02,2.060716477574051908e-01
3.108500000000000227e+02,2.010477845869942382e-01
3.118199999999999932e+02,1.887635484757239079e-01
3.127799999999999727e+02,1.756031045096504151e-01
3.137500000000000000e+02,1.625433438044587564e-01
3.147099999999999795e+02,1.504663427476041482e-01
3.156800000000000068e+02,1.419527386705148053e-01
3.166399999999999864e+02,1.405169841921945217e-01
3.176000000000000227e+02,1.463035569974691086e-01
3.185699999999999932e+02,1.545157500437694120e-01
3.195299999999999727e+02,1.601799619471432901e-01
3.205000000000000000e+02,1.629603289987110737e-01
3.214599999999999795e+02,1.650351147842944455e-01
3.224300000000000068e+02,1.696482605130129884e-01
3.233899999999999864e+02,1.784978879869418833e-01
3.243500000000000227e+02,1.862730150776017446e-01
3.253199999999999932e+02,1.824941191913213301e-01
3.262799999999999727e+02,1.618073819034536454e-01
3.272500000000000000e+02,1.285117229528700833e-01
3.282099999999999795e+02,9.593426061737052313e-02
3.291700000000000159e+02,7.575034080403963976e-02
3.301399999999999864e+02,7.140567046366945447e-02
3.311000000000000227e+02,7.935318071074665136e-02
3.320699999999999932e+02,9.169191033950518932e-02
3.330299999999999727e+02,1.052817153169879200e-01
3.340000000000000000e+02,1.197405022689311538e-01
3.349599999999999795e+02,1.327186225028684219e-01
3.359200000000000159e+02,1.393761334601587021e-01
3.368899999999999864e+02,1.368681541520486988e-01
3.378500000000000227e+02,1.289756564083409940e-01
3.388199999999999932e+02,1.248511957694058011e-01
3.397799999999999727e+02,1.317464421821022968e-01
3.407500000000000000e+02,1.489837996960247379e-01
3.417099999999999795e+02,1.678181965312348645e-01
3.426700000000000159e+02,1.796085177719198567e-01
3.436399999999999864e+02,1.790022224971386244e-01
3.446000000000000227e+02,1.676833799681931303e-01
3.455699999999999932e+02,1.475808610941739263e-01
3.465299999999999727e+02,1.224406660409171066e-01
3.475000000000000000e+02,9.675357963523906202e-02
3.484599999999999795e+02,8.418218464390689326e-02
3.494200000000000159e+02,1.002395678747742408e-01
3.503899999999999864e+02,1.469476583975651562e-01
3.513500000000000227e+02,2.082059572313119111e-01
3.523199999999999932e+02,2.587117468980752455e-01
3.532799999999999727e+02,2.766920925833973310e-01
3.542400000000000091e+02,2.550014369920527435e-01
3.552099999999999795e+02,2.039387754751633697e-01
3.561700000000000159e+02,1.467532782242084166e-01
3.571399999999999864e+02,1.058044139429645120e-01
3.581000000000000227e+02,9.105926655077188625e-02
3.590699999999999932e+02,9.727895303459323240e-02
3.600299999999999727e+02,1.143094747140113859e-01
3.609900000000000091e+02,1.278917743572191290e-01
3.619599999999999795e+02,1.278544073738018816e-01
3.629200000000000159e+02,1.132646363699351538e-01
3.638899999999999864e+02,9.214418657365421039e-02
3.648500000000000227e+02,7.319529346873518416e-02
3.658199999999999932e+02,6.014204004804789977e-02
3.667799999999999727e+02,5.299077390813583532e-02
3.677400000000000091e+02,4.943751711404258814e-02
3.687099999999999795e+02,4.736676344953413137e-02
3.696700000000000159e+02,4.902073152974649461e-02
3.706399999999999864e+02,5.764843265663516930e-02
3.716000000000000227e+02,7.249027111062114614e-02
3.725699999999999932e+02,8.663618942040733628e-02
3.735299999999999727e+02,9.056259706282000777e-02
3.744900000000000091e+02,8.033817599057430092e-02
3.754599999999999795e+02,6.101984478248874411e-02
3.764200000000000159e+02,4.267257607942381153e-02
3.773899999999999864e+02,3.493888801524643734e-02
3.783500000000000227e+02,4.206923503196084713e-02
3.793100000000000023e+02,6.189776928289365127e-02
3.802799999999999727e+02,8.765839199568860318e-02
3.812400000000000091e+02,1.128685303768865306e-01
3.822099999999999795e+02,1.318062852463616763e-01
3.831700000000000159e+02,1.416651406485519571e-01
3.841399999999999864e+02,1.367288663260305681e-01
3.851000000000000227e+02,1.153142313793040497e-01
3.860600000000000023e+02,8.751311587105259360e-02
3.870299999999999727e+02,6.916093676311453609e-02
3.879900000000000091e+02,7.307141553117832422e-02
3.889599999999999795e+02,9.771502094046158327e-02
3.899200000000000159e+02,1.298679129034509827e-01
3.908899999999999864e+02,1.528937594782136256e-01
3.918500000000000227e+02,1.544721153077919795e-01
3.928100000000000023e+02,1.329292110045176833e-01
3.937799999999999727e+02,9.834874262295285885e-02
3.947400000000000091e+02,6.787692577195102162e-02
3.957099999999999795e+02,5.156707587104984031e-02
3.966700000000000159e+02,5.327681497245437964e-02
3.976399999999999864e+02,7.112122627898388727e-02
3.986000000000000227e+02,9.841325656013349965e-02
3.995600000000000023e+02,1.252337282855649492e-01
4.005299999999999727e+02,1.408956841972374419e-01
4.014900000000000091e+02,1.425587145693703595e-01
4.024599999999999795e+02,1.344196586102766044e-01
4.034200000000000159e+02,1.233996721047070921e-01
4.043799999999999955e+02,1.147529281881886215e-01
4.053500000000000227e+02,1.105788045926581753e-01
