# wavenumber, intensity
2.009300000000000068e+02,1.247569032781381190e-02
2.019000000000000057e+02,1.210393180060263113e-02
2.028600000000000136e+02,1.173956927637057751e-02
2.038199999999999932e+02,1.158909082477106028e-02
2.047899999999999920e+02,1.177784515432343630e-02
2.057500000000000000e+02,1.226304795032920163e-02
2.067199999999999989e+02,1.287319111215465967e-02
2.076800000000000068e+02,1.335379380264558984e-02
2.086500000000000057e+02,1.356854456182450715e-02
2.096100000000000136e+02,1.354608571334135932e-02
2.105699999999999932e+02,1.350932653684439738e-02
2.115399999999999920e+02,1.368999318088550549e-02
2.125000000000000000e+02,1.412708654004772232e-02
2.134699999999999989e+02,1.472086265978744986e-02
2.144300000000000068e+02,1.528494643179232476e-02
2.154000000000000057e+02,1.561230810731748485e-02
2.163600000000000136e+02,1.568561395543709158e-02
2.173199999999999932e+02,1.566245925765955005e-02
2.182899999999999920e+02,1.579591648550135452e-02
2.192500000000000000e+02,1.629350706565192361e-02
2.202199999999999989e+02,1.725400826381480110e-02
2.211800000000000068e+02,1.859136810617284183e-02
2.221399999999999864e+02,2.018879224708906503e-02
2.231100000000000136e+02,2.183075490960762963e-02
2.240699999999999932e+02,2.329210092923195835e-02
2.250399999999999920e+02,2.435070021085300462e-02
2.260000000000000000e+02,2.489124594295408915e-02
2.269699999999999989e+02,2.486376197920733486e-02
2.279300000000000068e+02,2.431035345206590884e-02
2.288899999999999864e+02,2.327298382406676330e-02
2.298600000000000136e+02,2.196991226819629967e-02
2.308199999999999932e+02,2.066706571748685994e-02
2.317899999999999920e+02,1.960239963004177868e-02
2.327500000000000000e+02,1.890726701877079932e-02
2.337199999999999989e+02,1.865307368821125453e-02
2.346800000000000068e+02,1.873808813823019809e-02
2.356399999999999864e+02,1.891232546813230789e-02
2.366100000000000136e+02,1.896568502540051798e-02
2.375699999999999932e+02,1.888204144015915090e-02
2.385399999999999920e+02,1.875477602100861577e-02
2.395000000000000000e+02,1.870372485002236296e-02
2.404699999999999989e+02,1.881273985055390008e-02
2.414300000000000068e+02,1.915467686040072184e-02
2.423899999999999864e+02,1.966675110610375393e-02
2.433600000000000136e+02,2.027664842895695110e-02
2.443199999999999932e+02,2.094782632409991630e-02
2.452899999999999920e+02,2.169423094475588301e-02
2.462500000000000000e+02,2.249040337362764180e-02
2.472100000000000080e+02,2.326227524510537936e-02
2.481800000000000068e+02,2.399883380658406062e-02
2.491399999999999864e+02,2.466476574806463623e-02
2.501100000000000136e+02,2.529729275665290600e-02
2.510699999999999932e+02,2.598095010471000374e-02
2.520399999999999920e+02,2.679652297857946716e-02
2.530000000000000000e+02,2.779017493713793752e-02
2.539600000000000080e+02,2.905783734747777527e-02
2.549300000000000068e+02,3.059798517461853606e-02
2.558899999999999864e+02,3.228290298908756406e-02
2.568600000000000136e+02,3.390072759793957141e-02
2.578199999999999932e+02,3.529835132260046582e-02
2.587900000000000205e+02,3.649107451402203856e-02
2.597500000000000000e+02,3.764878440232592022e-02
2.607099999999999795e+02,3.890340901361124398e-02
2.616800000000000068e+02,4.035374228063052376e-02
2.626399999999999864e+02,4.197815454058675261e-02
2.636100000000000136e+02,4.367984357307895527e-02
2.645699999999999932e+02,4.538868693634025980e-02
2.655400000000000205e+02,4.709192600438637244e-02
2.665000000000000000e+02,4.871301735483588718e-02
2.674599999999999795e+02,5.016743821561438221e-02
2.684300000000000068e+02,5.135075702465625308e-02
2.693899999999999864e+02,5.222249785354484558e-02
2.703600000000000136e+02,5.278324404899403105e-02
2.713199999999999932e+02,5.306752556970140144e-02
2.722799999999999727e+02,5.309129278152849296e-02
2.732500000000000000e+02,5.284962057150553033e-02
2.742099999999999795e+02,5.245210728687789425e-02
2.751800000000000068e+02,5.200671373732998481e-02
2.761399999999999864e+02,5.155476170401351171e-02
2.771100000000000136e+02,5.101107006641988906e-02
2.780699999999999932e+02,5.022016442502175854e-02
2.790299999999999727e+02,4.905001258466393926e-02
2.800000000000000000e+02,4.746660126516681621e-02
2.809599999999999795e+02,4.557381618274231050e-02
2.819300000000000068e+02,4.351393560089810569e-02
2.828899999999999864e+02,4.142075008845539502e-02
2.838600000000000136e+02,3.929293461502129242e-02
2.848199999999999932e+02,3.708025469500897398e-02
2.857799999999999727e+02,3.484786182283083206e-02
2.867500000000000000e+02,3.267893707311939067e-02
2.877099999999999795e+02,3.073249659330752961e-02
2.886800000000000068e+02,2.911539283432335382e-02
2.896399999999999864e+02,2.783369676875315987e-02
2.906100000000000136e+02,2.679943971214858445e-02
2.915699999999999932e+02,2.583509675919878207e-02
2.925299999999999727e+02,2.475875123719006171e-02
2.935000000000000000e+02,2.346611742073526422e-02
2.944599999999999795e+02,2.206993956257234310e-02
2.954300000000000068e+02,2.076251374015919068e-02
2.963899999999999864e+02,1.970883957150789539e-02
2.973600000000000136e+02,1.893789272124781278e-02
2.983199999999999932e+02,1.837651317793787681e-02
2.992799999999999727e+02,1.790937329625019378e-02
3.002500000000000000e+02,1.736227741390507923e-02
3.012099999999999795e+02,1.665223612733307545e-02
3.021800000000000068e+02,1.580465001916006931e-02
