# wavenumber, intensity
2.009300000000000068e+02,2.416873709727894795e-02
2.019000000000000057e+02,2.186816258136660071e-02
2.028600000000000136e+02,1.968466156818099097e-02
2.038199999999999932e+02,1.870250458987901196e-02
2.047899999999999920e+02,1.956841499730085226e-02
2.057500000000000000e+02,2.213573768027791294e-02
2.067199999999999989e+02,2.511163987138046241e-02
2.076800000000000068e+02,2.673216317715815596e-02
2.086500000000000057e+02,2.588351810436368208e-02
2.096100000000000136e+02,2.285584496792026146e-02
2.105699999999999932e+02,1.933793906807840940e-02
2.115399999999999920e+02,1.733790416153076566e-02
2.125000000000000000e+02,1.763378288230244006e-02
2.134699999999999989e+02,1.993586091066415836e-02
2.144300000000000068e+02,2.294689517600109405e-02
2.154000000000000057e+02,2.464967314203156054e-02
2.163600000000000136e+02,2.434449770261452178e-02
2.173199999999999932e+02,2.306218952233044309e-02
2.182899999999999920e+02,2.247947821402335872e-02
2.192500000000000000e+02,2.402327226779906941e-02
2.202199999999999989e+02,2.771794111460869001e-02
2.211800000000000068e+02,3.234160524536369707e-02
2.221399999999999864e+02,3.663252954179564702e-02
2.231100000000000136e+02,3.978990568554112428e-02
2.240699999999999932e+02,4.184218764970498716e-02
2.250399999999999920e+02,4.250754202564716033e-02
2.260000000000000000e+02,4.126511451308361583e-02
2.269699999999999989e+02,3.783738177239513029e-02
2.279300000000000068e+02,3.334095238267102690e-02
2.288899999999999864e+02,2.929042719762812996e-02
2.298600000000000136e+02,2.694780445021353540e-02
2.308199999999999932e+02,2.627294035802864303e-02
2.317899999999999920e+02,2.618414541862128242e-02
2.327500000000000000e+02,2.563588960394699856e-02
2.337199999999999989e+02,2.481737742649224934e-02
2.346800000000000068e+02,2.452375397439399488e-02
2.356399999999999864e+02,2.493818465180124358e-02
2.366100000000000136e+02,2.530197201820475958e-02
2.375699999999999932e+02,2.516810929312658998e-02
2.385399999999999920e+02,2.465344445242583643e-02
2.395000000000000000e+02,2.451688793420866985e-02
2.404699999999999989e+02,2.546175780376501441e-02
2.414300000000000068e+02,2.767709569306678330e-02
2.423899999999999864e+02,3.057183327044256382e-02
2.433600000000000136e+02,3.351431989735725869e-02
2.443199999999999932e+02,3.635198664800749074e-02
2.452899999999999920e+02,3.910934077531875996e-02
2.462500000000000000e+02,4.133614294704730102e-02
2.472100000000000080e+02,4.230361562042682377e-02
2.481800000000000068e+02,4.205206545837148618e-02
2.491399999999999864e+02,4.074278175889086556e-02
2.501100000000000136e+02,3.887019459097110219e-02
2.510699999999999932e+02,3.715522564483042522e-02
2.520399999999999920e+02,3.600988744868674485e-02
2.530000000000000000e+02,3.533666469092589663e-02
2.539600000000000080e+02,3.499242298636471432e-02
2.549300000000000068e+02,3.489097348384117420e-02
2.558899999999999864e+02,3.477565407897201255e-02
2.568600000000000136e+02,3.395620220623647711e-02
2.578199999999999932e+02,3.198413263124812861e-02
2.587900000000000205e+02,2.910882795228112579e-02
2.597500000000000000e+02,2.620642246141358447e-02
2.607099999999999795e+02,2.385323753904227198e-02
2.616800000000000068e+02,2.255723486619790399e-02
2.626399999999999864e+02,2.238694955203259646e-02
2.636100000000000136e+02,2.302649363092686835e-02
2.645699999999999932e+02,2.395067767503382059e-02
2.655400000000000205e+02,2.473460906615229660e-02
2.665000000000000000e+02,2.494936076100864528e-02
2.674599999999999795e+02,2.426654058211259388e-02
2.684300000000000068e+02,2.278071946253145200e-02
2.693899999999999864e+02,2.099829292449424678e-02
