# wavenumber, intensity
2.009300000000000068e+02,3.210416864320842639e-02
2.019000000000000057e+02,2.992003669393716522e-02
2.028600000000000136e+02,2.669725515611571717e-02
2.038199999999999932e+02,2.475322197790711179e-02
2.047899999999999920e+02,2.538357847760947320e-02
2.057500000000000000e+02,2.882665513456809936e-02
2.067199999999999989e+02,3.322431764250631525e-02
2.076800000000000068e+02,3.595181950746202670e-02
2.086500000000000057e+02,3.545627246402722338e-02
2.096100000000000136e+02,3.189822646234994480e-02
2.105699999999999932e+02,2.739434491922764295e-02
2.115399999999999920e+02,2.457824617023404018e-02
2.125000000000000000e+02,2.460966828870818357e-02
2.134699999999999989e+02,2.694443924725948430e-02
2.144300000000000068e+02,2.992713416722550535e-02
2.154000000000000057e+02,3.142814646562191311e-02
2.163600000000000136e+02,3.077616333284046574e-02
2.173199999999999932e+02,2.899897546636243800e-02
2.182899999999999920e+02,2.760791931451382630e-02
2.192500000000000000e+02,2.756523724911688622e-02
2.202199999999999989e+02,2.860905802753738875e-02
2.211800000000000068e+02,2.963478267971230914e-02
2.221399999999999864e+02,2.976148594645289594e-02
2.231100000000000136e+02,2.881262425629444943e-02
2.240699999999999932e+02,2.753374221139662584e-02
2.250399999999999920e+02,2.691070194272118105e-02
2.260000000000000000e+02,2.757156299371840702e-02
2.269699999999999989e+02,2.993420125749615690e-02
2.279300000000000068e+02,3.463610716666936512e-02
2.288899999999999864e+02,4.206477359512866138e-02
2.298600000000000136e+02,5.113693045230197076e-02
2.308199999999999932e+02,5.953593328890322001e-02
2.317899999999999920e+02,6.474781209903682222e-02
2.327500000000000000e+02,6.533610634693569341e-02
2.337199999999999989e+02,6.175533384688363520e-02
2.346800000000000068e+02,5.595185511636099202e-02
2.356399999999999864e+02,4.985457866661015952e-02
2.366100000000000136e+02,4.433117060723350961e-02
2.375699999999999932e+02,3.949327030404332917e-02
2.385399999999999920e+02,3.541527969449887597e-02
2.395000000000000000e+02,3.232773297521378264e-02
2.404699999999999989e+02,3.073575391728088427e-02
2.414300000000000068e+02,3.059209692581724496e-02
2.423899999999999864e+02,3.167347719259443195e-02
2.433600000000000136e+02,3.347430304802369999e-02
2.443199999999999932e+02,3.566708200456467082e-02
2.452899999999999920e+02,3.796800020310413942e-02
2.462500000000000000e+02,4.006768558876322439e-02
2.472100000000000080e+02,4.169805662977924682e-02
2.481800000000000068e+02,4.333107707007087528e-02
2.491399999999999864e+02,4.513354968514159821e-02
2.501100000000000136e+02,4.741225182002933164e-02
2.510699999999999932e+02,5.055632918487018568e-02
2.520399999999999920e+02,5.475648383808385394e-02
2.530000000000000000e+02,5.944768277128494038e-02
2.539600000000000080e+02,6.414195038942695215e-02
2.549300000000000068e+02,6.820374684972857482e-02
2.558899999999999864e+02,7.081536180278501236e-02
2.568600000000000136e+02,7.105358290326090065e-02
2.578199999999999932e+02,6.856945509884074252e-02
2.587900000000000205e+02,6.380292450779211089e-02
2.597500000000000000e+02,5.790980979397474665e-02
2.607099999999999795e+02,5.178616696014730347e-02
2.616800000000000068e+02,4.657232540697253675e-02
2.626399999999999864e+02,4.293487642287210915e-02
2.636100000000000136e+02,4.079556550354983269e-02
2.645699999999999932e+02,3.959512026106365434e-02
2.655400000000000205e+02,3.896428978626102074e-02
2.665000000000000000e+02,3.835862860457807388e-02
2.674599999999999795e+02,3.738902138889791532e-02
2.684300000000000068e+02,3.636484019409940566e-02
2.693899999999999864e+02,3.501043811663499122e-02
2.703600000000000136e+02,3.358551097496315779e-02
2.713199999999999932e+02,3.238581315474969163e-02
2.722799999999999727e+02,3.151253833980002805e-02
2.732500000000000000e+02,3.084253200001852227e-02
2.742099999999999795e+02,3.040094519871324244e-02
2.751800000000000068e+02,3.041459932754950884e-02
2.761399999999999864e+02,3.107770872196865403e-02
2.771100000000000136e+02,3.221862147660026210e-02
2.780699999999999932e+02,3.351022185334241732e-02
2.790299999999999727e+02,3.471435559436162471e-02
2.800000000000000000e+02,3.581637200779130142e-02
2.809599999999999795e+02,3.644945082601599995e-02
2.819300000000000068e+02,3.702514219754288877e-02
2.828899999999999864e+02,3.756755200981906628e-02
2.838600000000000136e+02,3.769295488333689048e-02
2.848199999999999932e+02,3.681116066979884388e-02
2.857799999999999727e+02,3.496542263536270290e-02
2.867500000000000000e+02,3.274383449999983958e-02
2.877099999999999795e+02,3.128176715563651261e-02
2.886800000000000068e+02,3.117098459096580634e-02
2.896399999999999864e+02,3.205449848339154972e-02
2.906100000000000136e+02,3.296059303569994631e-02
2.915699999999999932e+02,3.304296140079850813e-02
2.925299999999999727e+02,3.198241780860076183e-02
2.935000000000000000e+02,2.984073093717568709e-02
2.944599999999999795e+02,2.750991584772627396e-02
2.954300000000000068e+02,2.588618653471127379e-02
2.963899999999999864e+02,2.548150294854726466e-02
2.973600000000000136e+02,2.609657678958370725e-02
2.983199999999999932e+02,2.742204207954541256e-02
2.992799999999999727e+02,2.913671992228562130e-02
3.002500000000000000e+02,3.018403474791632457e-02
3.012099999999999795e+02,2.955949355809182541e-02
3.021800000000000068e+02,2.697855937784136848e-02
3.031399999999999864e+02,2.322185096670927040e-02
3.041000000000000227e+02,1.993255492321707040e-02
3.050699999999999932e+02,1.871435992090373854e-02
3.060299999999999727e+02,2.062294826889262550e-02
3.070000000000000000e+02,2.493794465814404629e-02
3.079599999999999795e+02,2.997300644963994329e-02
3.089300000000000068e+02,3.360695530992675178e-02
3.098899999999999864e+02,3.500454988751088015e-02
3.108500000000000227e+02,3.448157913092989718e-02
3.118199999999999932e+02,3.300780217096020014e-02
3.127799999999999727e+02,3.139625644865132181e-02
3.137500000000000000e+02,2.980353604504970208e-02
3.147099999999999795e+02,2.842444472616926718e-02
3.156800000000000068e+02,2.780862953946375976e-02
3.166399999999999864e+02,2.834575270639601643e-02
3.176000000000000227e+02,2.981208582665714410e-02
3.185699999999999932e+02,3.132116177835347903e-02
3.195299999999999727e+02,3.230692060704994789e-02
3.205000000000000000e+02,3.246215960543935575e-02
3.214599999999999795e+02,3.223525921792391030e-02
3.224300000000000068e+02,3.221015069084243176e-02
3.233899999999999864e+02,3.261166836640373018e-02
3.243500000000000227e+02,3.284992592650260584e-02
3.253199999999999932e+02,3.208604213394341403e-02
3.262799999999999727e+02,3.008204502900781868e-02
3.272500000000000000e+02,2.731412767188963128e-02
3.282099999999999795e+02,2.503283690376441328e-02
3.291700000000000159e+02,2.401420364827479628e-02
3.301399999999999864e+02,2.416854938589893184e-02
3.311000000000000227e+02,2.492529316894233002e-02
3.320699999999999932e+02,2.564640374704772047e-02
3.330299999999999727e+02,2.621984677515268314e-02
3.340000000000000000e+02,2.682970689009140514e-02
3.349599999999999795e+02,2.756482404005566184e-02
3.359200000000000159e+02,2.825382584345195042e-02
3.368899999999999864e+02,2.860395975691317969e-02
3.378500000000000227e+02,2.866845075350410443e-02
3.388199999999999932e+02,2.891155136686599653e-02
3.397799999999999727e+02,2.976283495250587122e-02
3.407500000000000000e+02,3.106482632182027900e-02
3.417099999999999795e+02,3.199429149251073468e-02
3.426700000000000159e+02,3.220510710965259621e-02
3.436399999999999864e+02,3.186977580315419195e-02
