# wavenumber, intensity
2.009300000000000068e+02,1.745820275602608662e-01
2.019000000000000057e+02,1.899676046392169970e-01
2.028600000000000136e+02,2.085360729433567983e-01
2.038199999999999932e+02,2.305679618822440435e-01
2.047899999999999920e+02,2.545611788724022051e-01
2.057500000000000000e+02,2.780161112335847728e-01
2.067199999999999989e+02,2.952225667178103863e-01
2.076800000000000068e+02,2.989044821931222673e-01
2.086500000000000057e+02,2.848828201866238641e-01
2.096100000000000136e+02,2.564982003634200258e-01
2.105699999999999932e+02,2.216822232175044705e-01
2.115399999999999920e+02,1.900714359237893059e-01
2.125000000000000000e+02,1.685866031117067843e-01
2.134699999999999989e+02,1.591115360414514512e-01
2.144300000000000068e+02,1.566914480855212954e-01
2.154000000000000057e+02,1.546021407104679612e-01
2.163600000000000136e+02,1.487711554260831293e-01
2.173199999999999932e+02,1.391481353803579457e-01
2.182899999999999920e+02,1.266781830444662083e-01
2.192500000000000000e+02,1.154618151336065379e-01
2.202199999999999989e+02,1.112712056244146014e-01
2.211800000000000068e+02,1.173503291848049246e-01
2.221399999999999864e+02,1.321967233488623716e-01
2.231100000000000136e+02,1.521204409083228015e-01
2.240699999999999932e+02,1.710527678514270344e-01
2.250399999999999920e+02,1.846009274960704605e-01
2.260000000000000000e+02,1.914583365477910970e-01
2.269699999999999989e+02,1.919923411085462106e-01
2.279300000000000068e+02,1.853669011862252858e-01
2.288899999999999864e+02,1.684837757937548974e-01
2.298600000000000136e+02,1.422637080017032651e-01
2.308199999999999932e+02,1.126977893500537842e-01
2.317899999999999920e+02,8.758044678839863040e-02
2.327500000000000000e+02,7.254789607698597376e-02
2.337199999999999989e+02,6.795178973430479608e-02
2.346800000000000068e+02,6.971343410903867166e-02
2.356399999999999864e+02,7.235608561235815084e-02
2.366100000000000136e+02,7.382409617112789535e-02
2.375699999999999932e+02,7.501860508666802208e-02
2.385399999999999920e+02,7.653903327103342424e-02
2.395000000000000000e+02,7.757021266972351226e-02
2.404699999999999989e+02,7.674558619286243888e-02
2.414300000000000068e+02,7.547688942819236191e-02
2.423899999999999864e+02,7.527736427269875186e-02
2.433600000000000136e+02,7.699515115827350320e-02
2.443199999999999932e+02,8.018802920930170886e-02
2.452899999999999920e+02,8.355327247675459201e-02
2.462500000000000000e+02,8.660554236073632339e-02
2.472100000000000080e+02,8.927958103099414844e-02
2.481800000000000068e+02,9.163256174447818869e-02
2.491399999999999864e+02,9.350305723687928061e-02
2.501100000000000136e+02,9.422385242916854475e-02
2.510699999999999932e+02,9.295790336261476605e-02
2.520399999999999920e+02,8.982917349452369804e-02
2.530000000000000000e+02,8.604791816425370887e-02
2.539600000000000080e+02,8.461605040377737086e-02
2.549300000000000068e+02,8.745664185213691821e-02
2.558899999999999864e+02,9.361111574932132195e-02
2.568600000000000136e+02,1.004558431174303462e-01
2.578199999999999932e+02,1.045685659531063322e-01
2.587900000000000205e+02,1.042338751864506363e-01
2.597500000000000000e+02,1.007402298724278944e-01
2.607099999999999795e+02,9.635051793052981650e-02
2.616800000000000068e+02,9.325322806972569101e-02
2.626399999999999864e+02,9.185713322510496992e-02
2.636100000000000136e+02,9.219367340395502597e-02
2.645699999999999932e+02,9.454232120887158530e-02
2.655400000000000205e+02,9.885826802442634897e-02
2.665000000000000000e+02,1.035011380754256166e-01
2.674599999999999795e+02,1.063447942639926119e-01
2.684300000000000068e+02,1.062712933393929610e-01
2.693899999999999864e+02,1.042485648033010248e-01
2.703600000000000136e+02,1.020983325065607655e-01
2.713199999999999932e+02,1.009378527753780064e-01
2.722799999999999727e+02,9.960141468408159615e-02
2.732500000000000000e+02,9.663733534155190263e-02
2.742099999999999795e+02,9.322342611323899964e-02
2.751800000000000068e+02,9.244064919229585953e-02
2.761399999999999864e+02,9.562993409963280178e-02
2.771100000000000136e+02,1.005530165181059005e-01
2.780699999999999932e+02,1.035806099593939988e-01
2.790299999999999727e+02,1.032879272697029699e-01
2.800000000000000000e+02,1.009334141861154832e-01
2.809599999999999795e+02,9.981710898618025019e-02
2.819300000000000068e+02,1.015408139907733182e-01
2.828899999999999864e+02,1.048197161289688845e-01
2.838600000000000136e+02,1.063019407414544787e-01
2.848199999999999932e+02,1.041037294083837633e-01
2.857799999999999727e+02,9.972157363630472504e-02
2.867500000000000000e+02,9.519616767975985772e-02
