# wavenumber, intensity
2.009300000000000068e+02,9.787130054081344399e-02
2.019000000000000057e+02,9.490322685328583807e-02
2.028600000000000136e+02,9.127333036020908452e-02
2.038199999999999932e+02,8.946860939030883142e-02
2.047899999999999920e+02,9.069558756933181198e-02
2.057500000000000000e+02,9.440897404188978992e-02
2.067199999999999989e+02,9.831284354184002816e-02
2.076800000000000068e+02,9.996317197017851042e-02
2.086500000000000057e+02,9.834018183900919419e-02
2.096100000000000136e+02,9.375895194015620993e-02
2.105699999999999932e+02,8.868691110185378257e-02
2.115399999999999920e+02,8.553651654040445029e-02
2.125000000000000000e+02,8.519862305454004026e-02
2.134699999999999989e+02,8.790590118778641993e-02
2.144300000000000068e+02,9.180042846388418443e-02
2.154000000000000057e+02,9.469248595101323329e-02
2.163600000000000136e+02,9.623759143701321461e-02
2.173199999999999932e+02,9.628371252108497425e-02
2.182899999999999920e+02,9.578178925221147999e-02
2.192500000000000000e+02,9.628951453379362702e-02
2.202199999999999989e+02,1.003445313817566548e-01
2.211800000000000068e+02,1.089804831109771471e-01
2.221399999999999864e+02,1.219412944486994582e-01
2.231100000000000136e+02,1.365130001961829542e-01
2.240699999999999932e+02,1.491219538818627788e-01
2.250399999999999920e+02,1.568741312346411676e-01
2.260000000000000000e+02,1.586221104870372822e-01
2.269699999999999989e+02,1.552554680282029198e-01
2.279300000000000068e+02,1.484633762698634174e-01
2.288899999999999864e+02,1.388382305434638642e-01
2.298600000000000136e+02,1.272814079419694877e-01
2.308199999999999932e+02,1.155122710110276230e-01
2.317899999999999920e+02,1.056868083373909695e-01
2.327500000000000000e+02,9.885026726135323627e-02
2.337199999999999989e+02,9.555147884944752146e-02
2.346800000000000068e+02,9.446925597053817958e-02
2.356399999999999864e+02,9.421386907217146889e-02
2.366100000000000136e+02,9.390292052668196277e-02
2.375699999999999932e+02,9.335458115614142516e-02
2.385399999999999920e+02,9.272353851970688288e-02
2.395000000000000000e+02,9.210252648151398547e-02
2.404699999999999989e+02,9.150187065739953662e-02
2.414300000000000068e+02,9.151032782846581226e-02
2.423899999999999864e+02,9.207272970438430681e-02
2.433600000000000136e+02,9.290782617759646422e-02
2.443199999999999932e+02,9.338073938292829057e-02
2.452899999999999920e+02,9.346157420405187821e-02
2.462500000000000000e+02,9.285255954806943823e-02
2.472100000000000080e+02,9.222820397712919172e-02
2.481800000000000068e+02,9.179177461442114550e-02
2.491399999999999864e+02,9.102404049214517234e-02
2.501100000000000136e+02,8.989658158195019955e-02
2.510699999999999932e+02,8.814673388478395932e-02
2.520399999999999920e+02,8.658038713191963665e-02
2.530000000000000000e+02,8.579337852674794040e-02
2.539600000000000080e+02,8.594147735960899759e-02
2.549300000000000068e+02,8.725214219651088177e-02
2.558899999999999864e+02,8.880708160235525894e-02
2.568600000000000136e+02,8.930536632088655058e-02
2.578199999999999932e+02,8.820111546152503701e-02
2.587900000000000205e+02,8.585267706341169480e-02
2.597500000000000000e+02,8.295560427716236473e-02
2.607099999999999795e+02,8.054629391521005155e-02
2.616800000000000068e+02,7.968572758959985292e-02
2.626399999999999864e+02,8.043595733455206898e-02
2.636100000000000136e+02,8.246862856645220674e-02
2.645699999999999932e+02,8.462186365564842994e-02
2.655400000000000205e+02,8.637889011430154029e-02
2.665000000000000000e+02,8.776704623957978790e-02
2.674599999999999795e+02,8.867383198845980863e-02
2.684300000000000068e+02,8.894229800022007693e-02
2.693899999999999864e+02,8.862751422599120243e-02
2.703600000000000136e+02,8.740466629330249926e-02
2.713199999999999932e+02,8.513489925394675251e-02
2.722799999999999727e+02,8.247718407671744689e-02
2.732500000000000000e+02,7.999215253196111097e-02
2.742099999999999795e+02,7.879693791403573344e-02
2.751800000000000068e+02,7.943122574401884073e-02
2.761399999999999864e+02,8.144354076184022462e-02
2.771100000000000136e+02,8.371871645711080612e-02
2.780699999999999932e+02,8.512467197730842761e-02
2.790299999999999727e+02,8.626373491292049778e-02
2.800000000000000000e+02,8.818793800893313939e-02
2.809599999999999795e+02,9.131502618034963159e-02
2.819300000000000068e+02,9.488523077996879884e-02
2.828899999999999864e+02,9.676193604313235164e-02
2.838600000000000136e+02,9.598328626982943756e-02
2.848199999999999932e+02,9.302593155493206478e-02
2.857799999999999727e+02,8.982154877353527855e-02
2.867500000000000000e+02,8.792016037156151487e-02
2.877099999999999795e+02,8.764117206556733264e-02
2.886800000000000068e+02,8.819934535595300162e-02
2.896399999999999864e+02,8.895990071674242383e-02
2.906100000000000136e+02,9.069902944127786193e-02
2.915699999999999932e+02,9.301944116783360250e-02
2.925299999999999727e+02,9.573291467058234194e-02
2.935000000000000000e+02,9.697464372937335264e-02
2.944599999999999795e+02,9.574245357283253655e-02
2.954300000000000068e+02,9.289317363702849495e-02
2.963899999999999864e+02,8.989382808439395911e-02
2.973600000000000136e+02,8.851481750457086684e-02
2.983199999999999932e+02,8.934342359068521422e-02
2.992799999999999727e+02,9.127716558894748144e-02
3.002500000000000000e+02,9.280624178560042958e-02
3.012099999999999795e+02,9.200477731825751349e-02
3.021800000000000068e+02,8.850262344396396530e-02
3.031399999999999864e+02,8.351033569560226133e-02
3.041000000000000227e+02,7.926011553872162885e-02
3.050699999999999932e+02,7.733905929705843507e-02
3.060299999999999727e+02,7.845343909385986414e-02
3.070000000000000000e+02,8.205285043541794832e-02
3.079599999999999795e+02,8.632205005759889527e-02
3.089300000000000068e+02,8.994575118117359436e-02
3.098899999999999864e+02,9.181694944922368096e-02
3.108500000000000227e+02,9.184035417845411164e-02
3.118199999999999932e+02,9.030803278825265401e-02
3.127799999999999727e+02,8.740564968528716228e-02
3.137500000000000000e+02,8.381145032124684424e-02
3.147099999999999795e+02,8.109423992895696542e-02
3.156800000000000068e+02,8.022029947235798097e-02
3.166399999999999864e+02,8.186698935035324753e-02
3.176000000000000227e+02,8.534003482190670453e-02
